"V6","lng","lat","date_time","icons","index"
"1001-2012","5.4338006","52.9209135","2012-05-12T01:52:39Z","1","62"
"1001-2012","5.4337872","52.9209151","2012-05-12T02:22:29Z","1","63"
"1001-2012","5.4337981","52.9209123","2012-05-12T02:52:20Z","1","64"
"1001-2012","5.4338013","52.920918","2012-05-12T03:37:24Z","1","67"
"1001-2012","5.4337857","52.9209199","2012-05-12T04:22:40Z","1","69"
"1001-2012","5.433776","52.920918","2012-05-12T04:37:40Z","1","70"
"1001-2012","5.4337866","52.9208893","2012-05-12T05:07:58Z","1","72"
"1001-2012","5.4337869","52.9209285","2012-05-12T08:09:09Z","1","84"
"1001-2012","5.4338012","52.9208968","2012-05-12T08:38:58Z","1","86"
"1001-2012","5.4337627","52.9209112","2012-05-12T08:53:56Z","1","87"
"1001-2012","5.4338066","52.9209257","2012-05-12T13:09:36Z","1","104"
"1001-2012","5.4338203","52.9209039","2012-05-12T13:24:33Z","1","105"
"1001-2012","5.4338043","52.9209076","2012-05-12T17:25:03Z","1","118"
"1001-2012","5.4337726","52.9209155","2012-05-13T01:26:37Z","1","134"
"1001-2012","5.4337819","52.9209118","2012-05-13T01:56:31Z","1","135"
"1001-2012","5.4337813","52.9209081","2012-05-13T02:27:03Z","1","136"
"1001-2012","5.4337606","52.9209058","2012-05-13T02:56:58Z","1","137"
"1001-2012","5.4337716","52.9209241","2012-05-13T03:41:47Z","1","140"
"1001-2012","5.433775","52.9209081","2012-05-13T04:27:07Z","1","143"
"1001-2012","5.4337688","52.9209233","2012-05-13T08:13:30Z","1","157"
"1001-2012","5.4337896","52.9209125","2012-05-13T08:43:34Z","1","159"
"1001-2012","5.4337816","52.9209202","2012-05-13T08:58:50Z","1","160"
"1001-2012","5.4337794","52.9209223","2012-05-13T09:13:45Z","1","161"
"1001-2012","5.4337819","52.9209243","2012-05-13T09:28:40Z","1","162"
"1001-2012","5.4338075","52.9208897","2012-05-13T13:30:31Z","1","175"
"1001-2012","5.4338093","52.9209108","2012-05-13T13:45:43Z","1","176"
"1001-2012","5.4337781","52.920912","2012-05-13T14:01:09Z","1","177"
"1001-2012","5.4337636","52.9209238","2012-05-13T14:16:07Z","1","178"
"1001-2012","5.4337777","52.920898","2012-05-14T02:03:27Z","1","204"
"1001-2012","5.4337874","52.9209022","2012-05-14T03:01:37Z","1","206"
"1001-2012","5.4337864","52.9209068","2012-05-14T03:16:33Z","1","207"
"1001-2012","5.4338028","52.9208895","2012-05-14T04:31:14Z","1","211"
"1001-2012","5.4337825","52.9209137","2012-05-14T04:46:27Z","1","212"
"1001-2012","5.4337978","52.9208923","2012-05-14T05:01:40Z","1","213"
"1001-2012","5.4337999","52.9209153","2012-05-14T06:46:24Z","1","220"
"1001-2012","5.4338066","52.9209095","2012-05-14T08:02:09Z","1","225"
"1001-2012","5.4338177","52.9208884","2012-05-14T09:01:51Z","1","229"
"1001-2012","5.4337638","52.9208939","2012-05-14T09:16:48Z","1","230"
"1001-2012","5.433782","52.9208937","2012-05-14T10:32:35Z","1","235"
"1001-2012","5.4337955","52.9208959","2012-05-14T17:18:19Z","1","259"
"1001-2012","5.4337721","52.9208985","2012-05-14T17:48:28Z","1","260"
"1001-2012","5.4337932","52.9209101","2012-05-15T00:50:33Z","1","274"
"1001-2012","5.4338021","52.9209093","2012-05-15T01:20:26Z","1","275"
"1001-2012","5.4337899","52.9209012","2012-05-15T01:50:17Z","1","276"
"1001-2012","5.4337671","52.9209078","2012-05-15T02:20:36Z","1","277"
"1001-2012","5.4337709","52.9209056","2012-05-15T02:50:44Z","1","278"
"1001-2012","5.4337758","52.9209271","2012-05-15T03:21:07Z","1","280"
"1001-2012","5.4337866","52.9209039","2012-05-15T03:36:20Z","1","281"
"1001-2012","5.4337816","52.9209144","2012-05-15T03:52:09Z","1","282"
"1001-2012","5.4337894","52.9209097","2012-05-15T04:07:03Z","1","283"
"1001-2012","5.4337875","52.9209107","2012-05-15T04:22:00Z","1","284"
"1001-2012","5.433795","52.9209016","2012-05-15T04:36:56Z","1","285"
"1001-2012","5.4337956","52.9209209","2012-05-15T04:51:51Z","1","286"
"1001-2012","5.4338147","52.9209016","2012-05-15T05:06:48Z","1","287"
"1001-2012","5.4337894","52.9209103","2012-05-15T05:21:59Z","1","288"
"1001-2012","5.4337909","52.920912","2012-05-15T05:37:05Z","1","289"
"1001-2012","5.4337977","52.9208978","2012-05-15T05:52:07Z","1","290"
"1001-2012","5.4337969","52.9209171","2012-05-15T06:07:33Z","1","291"
"1001-2012","5.4337845","52.9209126","2012-05-15T06:22:31Z","1","292"
"1001-2012","5.4337981","52.9209018","2012-05-15T06:37:27Z","1","293"
"1001-2012","5.4337913","52.9209128","2012-05-15T06:52:23Z","1","294"
"1001-2012","5.4337913","52.9209095","2012-05-15T09:08:06Z","1","303"
"1001-2012","5.4338112","52.9209034","2012-05-15T09:23:02Z","1","304"
"1001-2012","5.4337848","52.9209179","2012-05-15T10:52:56Z","1","309"
