"V6","lng","lat","date_time","icons","index"
"2011-2013","5.4264976774701","52.9252439719835","2013-04-16T14:18:21Z","2","1"
"2011-2013","5.4353042","52.9222108","2013-04-16T14:18:21Z","1","2"
"2011-2013","5.4484536","52.9133801","2013-04-16T14:23:07Z","1","3"
"2011-2013","5.4765061","52.935963","2013-04-16T14:27:56Z","1","4"
"2011-2013","5.4976587","52.9444856","2013-04-16T14:32:56Z","1","5"
"2011-2013","5.49772","52.9444797","2013-04-16T14:37:48Z","1","6"
"2011-2013","5.4976459","52.9444401","2013-04-16T14:42:56Z","1","7"
"2011-2013","5.4975282","52.9443825","2013-04-16T14:47:40Z","1","8"
"2011-2013","5.4975532","52.9443853","2013-04-16T14:52:28Z","1","9"
"2011-2013","5.4975359","52.9443608","2013-04-16T14:57:16Z","1","10"
"2011-2013","5.4975398","52.9444078","2013-04-16T15:02:06Z","1","11"
"2011-2013","5.4976001","52.9444477","2013-04-16T15:06:52Z","1","12"
"2011-2013","5.497561","52.9444143","2013-04-16T15:11:41Z","1","13"
"2011-2013","5.4975661","52.9443727","2013-04-16T15:16:28Z","1","14"
"2011-2013","5.4825259","52.9395514","2013-04-16T15:21:19Z","1","15"
"2011-2013","5.4534369","52.9283563","2013-04-16T15:26:11Z","1","16"
"2011-2013","5.4440297","52.924967","2013-04-16T15:30:54Z","1","17"
"2011-2013","5.4439927","52.9249932","2013-04-16T15:35:44Z","1","18"
"2011-2013","5.4440086","52.9250109","2013-04-16T15:40:30Z","1","19"
"2011-2013","5.4106701","53.0168704","2013-04-16T20:49:14Z","1","20"
"2011-2013","5.410544","53.0167467","2013-04-16T22:30:53Z","1","21"
"2011-2013","5.4105132","53.0167328","2013-04-17T00:11:59Z","1","22"
"2011-2013","5.4106409","53.0167116","2013-04-17T01:53:31Z","1","23"
"2011-2013","5.4105774","53.0166768","2013-04-17T03:34:40Z","1","24"
"2011-2013","5.6478438","53.1233172","2013-04-17T05:33:21Z","1","25"
"2011-2013","5.6478","53.1233896","2013-04-17T05:38:29Z","1","26"
"2011-2013","5.6479467","53.1235403","2013-04-17T05:43:31Z","1","27"
"2011-2013","5.6478384","53.123428","2013-04-17T05:48:22Z","1","28"
"2011-2013","5.6478935","53.1235345","2013-04-17T05:53:12Z","1","29"
"2011-2013","5.6478084","53.123401","2013-04-17T05:58:10Z","1","30"
"2011-2013","5.6479964","53.1234457","2013-04-17T06:01:04Z","1","31"
"2011-2013","5.6480079","53.1234929","2013-04-17T06:01:07Z","1","32"
"2011-2013","5.6480134","53.1234684","2013-04-17T06:01:10Z","1","33"
"2011-2013","5.6479679","53.1233904","2013-04-17T06:01:13Z","1","34"
"2011-2013","5.6479283","53.1233217","2013-04-17T06:01:16Z","1","35"
"2011-2013","5.6478865","53.1232573","2013-04-17T06:01:19Z","1","36"
