"V6","lng","lat","date_time","icons","index"
"2017-2013","5.439519","52.9196989","2013-05-14T07:28:39Z","1","77"
"2017-2013","5.4395234","52.9197779","2013-05-14T08:51:58Z","1","85"
"2017-2013","5.4395414","52.9196805","2013-05-14T09:33:07Z","1","89"
"2017-2013","5.4395806","52.9196886","2013-05-14T09:43:10Z","1","90"
"2017-2013","5.4395433","52.9196959","2013-05-14T09:53:18Z","1","91"
"2017-2013","5.439597","52.919695","2013-05-14T10:03:27Z","1","92"
"2017-2013","5.4396003","52.9196808","2013-05-14T10:13:36Z","1","93"
"2017-2013","5.4395889","52.9197021","2013-05-14T10:23:41Z","1","94"
"2017-2013","5.4395981","52.9196846","2013-05-14T10:44:29Z","1","96"
"2017-2013","5.439595","52.9196777","2013-05-14T10:54:37Z","1","97"
"2017-2013","5.439619","52.9196955","2013-05-14T11:05:02Z","1","98"
"2017-2013","5.4395357","52.919694","2013-05-14T11:15:11Z","1","99"
"2017-2013","5.4395258","52.9197096","2013-05-14T11:25:18Z","1","100"
"2017-2013","5.4395931","52.9197022","2013-05-14T11:35:27Z","1","101"
"2017-2013","5.4395867","52.919716","2013-05-14T11:45:34Z","1","102"
"2017-2013","5.4395634","52.9196772","2013-05-14T12:06:08Z","1","104"
"2017-2013","5.439541","52.9196507","2013-05-14T12:16:14Z","1","105"
"2017-2013","5.4395618","52.9197007","2013-05-14T12:26:38Z","1","106"
"2017-2013","5.4395546","52.919671","2013-05-14T12:36:46Z","1","107"
"2017-2013","5.4395596","52.919686","2013-05-14T12:57:38Z","1","109"
"2017-2013","5.4395296","52.9196561","2013-05-14T13:07:41Z","1","110"
"2017-2013","5.4395406","52.9196654","2013-05-14T13:17:59Z","1","111"
"2017-2013","5.4395448","52.919688","2013-05-14T13:28:27Z","1","112"
"2017-2013","5.4395613","52.9196855","2013-05-14T13:38:37Z","1","113"
"2017-2013","5.439619","52.9197306","2013-05-14T13:48:45Z","1","114"
"2017-2013","5.4395608","52.9196975","2013-05-14T13:58:54Z","1","115"
"2017-2013","5.439614","52.9198012","2013-05-14T14:09:03Z","1","116"
"2017-2013","5.4395539","52.9197214","2013-05-14T14:19:11Z","1","117"
"2017-2013","5.4395144","52.9196932","2013-05-14T14:29:35Z","1","118"
"2017-2013","5.4394855","52.9196841","2013-05-14T14:39:40Z","1","119"
"2017-2013","5.439556","52.9197549","2013-05-14T14:49:48Z","1","120"
"2017-2013","5.4395453","52.9197378","2013-05-14T15:00:02Z","1","121"
"2017-2013","5.4395242","52.9197537","2013-05-14T15:10:05Z","1","122"
"2017-2013","5.4395863","52.9197091","2013-05-15T03:11:08Z","1","191"
"2017-2013","5.4395656","52.9197135","2013-05-15T03:21:26Z","1","192"
"2017-2013","5.4395447","52.9197165","2013-05-15T03:31:35Z","1","193"
