"V6","lng","lat","date_time","icons","index"
"2001-2013","5.42496156199038","52.9201230792971","2013-05-06T14:14:15Z","2","1"
"2001-2013","5.424959","52.9201207","2013-05-07T02:19:00Z","1","14"
"2001-2013","5.4249549","52.9201466","2013-05-07T03:21:15Z","1","15"
"2001-2013","5.4249635","52.9201283","2013-05-07T08:24:07Z","1","20"
"2001-2013","5.4249154","52.9201364","2013-05-08T02:34:39Z","1","38"
"2001-2013","5.4249316","52.9201496","2013-05-08T03:34:54Z","1","39"
"2001-2013","5.4249352","52.9201453","2013-05-08T04:34:57Z","1","40"
"2001-2013","5.4249487","52.9201358","2013-05-09T01:54:29Z","1","98"
"2001-2013","5.4249577","52.9201339","2013-05-09T02:04:20Z","1","99"
"2001-2013","5.4249649","52.9201312","2013-05-09T02:14:12Z","1","100"
"2001-2013","5.4249457","52.9201347","2013-05-09T02:24:04Z","1","101"
"2001-2013","5.4249281","52.9201365","2013-05-09T02:34:13Z","1","102"
"2001-2013","5.4249369","52.9201463","2013-05-09T02:44:05Z","1","103"
"2001-2013","5.4248949","52.9201422","2013-05-09T02:53:56Z","1","104"
"2001-2013","5.4249155","52.9201505","2013-05-09T03:03:48Z","1","105"
"2001-2013","5.4249073","52.9201452","2013-05-09T03:23:33Z","1","107"
"2001-2013","5.4248998","52.9201468","2013-05-09T03:33:24Z","1","108"
"2001-2013","5.4249188","52.920153","2013-05-09T03:43:16Z","1","109"
"2001-2013","5.4249362","52.9201436","2013-05-09T04:03:39Z","1","111"
"2001-2013","5.424936","52.92014","2013-05-09T04:13:24Z","1","112"
"2001-2013","5.4249207","52.920129","2013-05-09T04:23:17Z","1","113"
"2001-2013","5.424961","52.920125","2013-05-09T04:33:08Z","1","114"
"2001-2013","5.4249137","52.9201206","2013-05-09T04:42:59Z","1","115"
"2001-2013","5.4249343","52.920129","2013-05-09T04:52:51Z","1","116"
"2001-2013","5.4249586","52.9201271","2013-05-09T05:03:04Z","1","117"
"2001-2013","5.4249323","52.9201411","2013-05-09T05:12:52Z","1","118"
"2001-2013","5.4249396","52.9201399","2013-05-09T05:22:44Z","1","119"
"2001-2013","5.4249026","52.9201488","2013-05-09T05:42:28Z","1","121"
"2001-2013","5.4249678","52.9201327","2013-05-09T06:02:14Z","1","123"
"2001-2013","5.4249638","52.9201407","2013-05-09T06:12:04Z","1","124"
"2001-2013","5.4249435","52.9201371","2013-05-09T06:41:54Z","1","127"
"2001-2013","5.4249657","52.9201414","2013-05-09T06:51:48Z","1","128"
"2001-2013","5.4249469","52.9201237","2013-05-09T07:01:38Z","1","129"
"2001-2013","5.4249292","52.9201296","2013-05-09T07:11:31Z","1","130"
"2001-2013","5.424939","52.9201158","2013-05-09T07:31:14Z","1","132"
"2001-2013","5.4249476","52.9201385","2013-05-09T07:41:22Z","1","133"
"2001-2013","5.4249387","52.9201517","2013-05-09T08:11:09Z","1","136"
"2001-2013","5.424919","52.9201382","2013-05-09T11:53:35Z","1","158"
"2001-2013","5.4249489","52.9201292","2013-05-09T12:13:21Z","1","160"
"2001-2013","5.4249936","52.920153","2013-05-09T12:23:30Z","1","161"
"2001-2013","5.4249471","52.9201332","2013-05-09T12:33:38Z","1","162"
"2001-2013","5.4249716","52.9201366","2013-05-09T12:43:29Z","1","163"
"2001-2013","5.4249893","52.920131","2013-05-09T12:53:20Z","1","164"
"2001-2013","5.4249415","52.9201319","2013-05-09T13:03:12Z","1","165"
"2001-2013","5.4249996","52.9201214","2013-05-09T13:13:03Z","1","166"
"2001-2013","5.4249923","52.920121","2013-05-09T13:23:13Z","1","167"
"2001-2013","5.4249387","52.9201244","2013-05-09T14:13:08Z","1","172"
"2001-2013","5.4249","52.9201293","2013-05-10T03:38:34Z","1","253"
"2001-2013","5.4248964","52.9201491","2013-05-10T03:48:25Z","1","254"
"2001-2013","5.4249205","52.9201203","2013-05-10T04:08:38Z","1","256"
"2001-2013","5.4249233","52.9201131","2013-05-10T04:18:33Z","1","257"
"2001-2013","5.4249293","52.9201482","2013-05-10T04:28:25Z","1","258"
"2001-2013","5.4249449","52.9201221","2013-05-10T04:38:17Z","1","259"
"2001-2013","5.4249565","52.9201196","2013-05-10T04:48:10Z","1","260"
"2001-2013","5.4249309","52.9201164","2013-05-10T04:58:03Z","1","261"
"2001-2013","5.4249586","52.9201093","2013-05-10T05:07:53Z","1","262"
"2001-2013","5.424954","52.9201223","2013-05-10T05:17:46Z","1","263"
"2001-2013","5.4249748","52.9201216","2013-05-10T05:27:36Z","1","264"
"2001-2013","5.4249699","52.9201376","2013-05-10T05:57:14Z","1","267"
"2001-2013","5.424961","52.9201402","2013-05-10T06:27:09Z","1","270"
"2001-2013","5.4249529","52.920113","2013-05-10T06:36:56Z","1","271"
"2001-2013","5.424924","52.9201219","2013-05-10T06:46:48Z","1","272"
"2001-2013","5.4249209","52.9201118","2013-05-10T07:06:32Z","1","274"
"2001-2013","5.4249342","52.9201456","2013-05-10T07:16:24Z","1","275"
"2001-2013","5.4249044","52.9201498","2013-05-10T07:26:16Z","1","276"
"2001-2013","5.4248906","52.9201416","2013-05-10T07:46:00Z","1","278"
"2001-2013","5.4249267","52.9201488","2013-05-10T07:55:52Z","1","279"
"2001-2013","5.4249746","52.9201279","2013-05-10T08:06:27Z","1","280"
"2001-2013","5.4249938","52.9201117","2013-05-10T08:46:31Z","1","284"
"2001-2013","5.4249478","52.9201376","2013-05-10T10:08:38Z","1","292"
"2001-2013","5.4249043","52.9201509","2013-05-10T10:18:31Z","1","293"
"2001-2013","5.4249066","52.9201287","2013-05-10T10:38:31Z","1","295"
"2001-2013","5.4249537","52.9201324","2013-05-10T14:46:13Z","1","320"
"2001-2013","5.424957","52.9201256","2013-05-10T14:56:05Z","1","321"
"2001-2013","5.4249591","52.9201393","2013-05-10T15:05:57Z","1","322"
"2001-2013","5.4249244","52.9201292","2013-05-10T15:16:21Z","1","323"
"2001-2013","5.424934","52.9201275","2013-05-10T15:26:29Z","1","324"
"2001-2013","5.4248945","52.9201227","2013-05-11T02:20:27Z","1","429"
"2001-2013","5.4249088","52.9201433","2013-05-11T02:30:24Z","1","430"
"2001-2013","5.4249093","52.9201327","2013-05-11T02:50:26Z","1","432"
"2001-2013","5.4249295","52.9201313","2013-05-11T03:00:16Z","1","433"
"2001-2013","5.4249255","52.9201306","2013-05-11T03:10:08Z","1","434"
"2001-2013","5.424896","52.920126","2013-05-11T03:20:00Z","1","435"
"2001-2013","5.4249145","52.9201521","2013-05-11T05:11:11Z","1","453"
"2001-2013","5.4249313","52.9201368","2013-05-11T05:21:06Z","1","454"
"2001-2013","5.4249311","52.9201234","2013-05-11T05:34:05Z","1","455"
"2001-2013","5.4249552","52.9201339","2013-05-11T05:44:15Z","1","456"
"2001-2013","5.4249293","52.9201256","2013-05-11T05:54:07Z","1","457"
"2001-2013","5.4249436","52.9201143","2013-05-11T06:03:59Z","1","458"
"2001-2013","5.4249441","52.9201126","2013-05-11T06:15:43Z","1","459"
"2001-2013","5.4249465","52.9201092","2013-05-11T06:25:35Z","1","460"
"2001-2013","5.4249346","52.9201221","2013-05-11T06:35:27Z","1","461"
"2001-2013","5.4249456","52.920112","2013-05-11T06:55:10Z","1","463"
"2001-2013","5.4249577","52.9201162","2013-05-11T07:05:02Z","1","464"
"2001-2013","5.4249681","52.9201378","2013-05-11T07:14:54Z","1","465"
"2001-2013","5.4249355","52.9201326","2013-05-11T07:24:46Z","1","466"
"2001-2013","5.4249433","52.9201271","2013-05-11T07:34:40Z","1","467"
"2001-2013","5.4249826","52.920112","2013-05-11T07:44:31Z","1","468"
"2001-2013","5.424943","52.9201196","2013-05-11T07:54:35Z","1","469"
"2001-2013","5.4249389","52.9201201","2013-05-11T08:04:46Z","1","470"
"2001-2013","5.4249095","52.9201221","2013-05-11T08:14:38Z","1","471"
"2001-2013","5.4249462","52.920123","2013-05-11T08:24:30Z","1","472"
"2001-2013","5.4249333","52.9201101","2013-05-11T08:34:22Z","1","473"
"2001-2013","5.4249524","52.9201153","2013-05-11T08:44:14Z","1","474"
"2001-2013","5.4249276","52.9201328","2013-05-11T08:54:06Z","1","475"
"2001-2013","5.4249173","52.9201288","2013-05-11T09:13:50Z","1","477"
"2001-2013","5.4249917","52.9201277","2013-05-11T09:23:43Z","1","478"
"2001-2013","5.4249731","52.9201347","2013-05-11T09:33:33Z","1","479"
"2001-2013","5.4249731","52.9201452","2013-05-11T09:43:40Z","1","480"
"2001-2013","5.4249422","52.9201265","2013-05-11T10:03:58Z","1","482"
"2001-2013","5.4249382","52.920124","2013-05-11T10:23:41Z","1","484"
"2001-2013","5.4249452","52.920117","2013-05-11T10:33:49Z","1","485"
"2001-2013","5.4249837","52.920118","2013-05-11T10:43:42Z","1","486"
"2001-2013","5.4249626","52.9201281","2013-05-11T10:54:01Z","1","487"
"2001-2013","5.4249694","52.9201285","2013-05-11T11:03:58Z","1","488"
"2001-2013","5.4249351","52.9201344","2013-05-11T13:11:08Z","1","512"
"2001-2013","5.4249409","52.9201174","2013-05-11T13:21:01Z","1","513"
"2001-2013","5.424969","52.9201265","2013-05-11T14:20:15Z","1","519"
"2001-2013","5.4249159","52.9201213","2013-05-11T14:30:08Z","1","520"
"2001-2013","5.4249168","52.9201291","2013-05-11T14:39:57Z","1","521"
"2001-2013","5.4249153","52.9201253","2013-05-11T14:49:53Z","1","522"
"2001-2013","5.4249193","52.9201428","2013-05-12T02:23:03Z","1","660"
"2001-2013","5.4249239","52.9201373","2013-05-12T02:32:55Z","1","661"
"2001-2013","5.4249133","52.9201372","2013-05-12T02:42:48Z","1","662"
"2001-2013","5.4249262","52.9201334","2013-05-12T02:52:40Z","1","663"
"2001-2013","5.4249424","52.9201346","2013-05-12T03:02:31Z","1","664"
"2001-2013","5.4249027","52.9201422","2013-05-12T03:12:23Z","1","665"
"2001-2013","5.4249578","52.9201414","2013-05-12T03:22:14Z","1","666"
"2001-2013","5.4248974","52.9201309","2013-05-12T03:32:06Z","1","667"
"2001-2013","5.4249225","52.9201309","2013-05-12T03:42:00Z","1","668"
"2001-2013","5.4249248","52.9201451","2013-05-12T04:02:08Z","1","670"
"2001-2013","5.4249076","52.9201302","2013-05-12T04:12:07Z","1","671"
"2001-2013","5.4249242","52.9201311","2013-05-12T04:22:15Z","1","672"
"2001-2013","5.4249468","52.9201354","2013-05-12T04:32:06Z","1","673"
"2001-2013","5.4249391","52.9201164","2013-05-12T04:41:58Z","1","674"
"2001-2013","5.4249228","52.9201481","2013-05-12T04:51:50Z","1","675"
"2001-2013","5.424918","52.9201385","2013-05-12T05:01:44Z","1","676"
"2001-2013","5.4249136","52.9201332","2013-05-12T05:11:35Z","1","677"
"2001-2013","5.4248997","52.9201421","2013-05-12T05:21:27Z","1","678"
"2001-2013","5.4249379","52.9201133","2013-05-12T07:53:42Z","1","702"
"2001-2013","5.4249334","52.9201286","2013-05-12T09:35:32Z","1","712"
"2001-2013","5.424915","52.920117","2013-05-12T09:55:17Z","1","714"
"2001-2013","5.4249658","52.9201478","2013-05-12T10:05:09Z","1","715"
"2001-2013","5.4249202","52.920147","2013-05-12T10:15:00Z","1","716"
"2001-2013","5.4248986","52.9201088","2013-05-12T10:36:37Z","1","718"
"2001-2013","5.4249528","52.9201454","2013-05-12T10:46:28Z","1","719"
"2001-2013","5.4249292","52.9201188","2013-05-12T10:56:21Z","1","720"
"2001-2013","5.4249834","52.9201502","2013-05-12T13:22:11Z","1","745"
"2001-2013","5.4249475","52.9201215","2013-05-12T13:32:13Z","1","746"
"2001-2013","5.4249446","52.9201129","2013-05-12T13:42:21Z","1","747"
"2001-2013","5.4249402","52.9201227","2013-05-12T13:52:32Z","1","748"
"2001-2013","5.4249404","52.9201475","2013-05-12T14:12:50Z","1","750"
"2001-2013","5.4249369","52.920147","2013-05-12T14:22:55Z","1","751"
"2001-2013","5.4249099","52.9201502","2013-05-13T02:03:10Z","1","883"
"2001-2013","5.4249365","52.9201354","2013-05-13T02:18:53Z","1","884"
"2001-2013","5.424896","52.9201449","2013-05-13T02:34:21Z","1","885"
"2001-2013","5.424905","52.9201428","2013-05-13T02:49:33Z","1","886"
"2001-2013","5.4249183","52.9201313","2013-05-13T03:05:01Z","1","887"
"2001-2013","5.4249493","52.9201364","2013-05-13T03:20:13Z","1","888"
"2001-2013","5.424945","52.9201249","2013-05-13T03:35:11Z","1","889"
"2001-2013","5.4249413","52.9201284","2013-05-13T04:08:38Z","1","891"
"2001-2013","5.4249289","52.9201221","2013-05-13T04:23:42Z","1","892"
"2001-2013","5.4249723","52.9201114","2013-05-13T04:39:56Z","1","893"
"2001-2013","5.4249142","52.9201525","2013-05-13T07:31:57Z","1","913"
"2001-2013","5.4249541","52.9201182","2013-05-13T07:47:08Z","1","914"
"2001-2013","5.4249543","52.92012","2013-05-13T09:05:08Z","1","919"
"2001-2013","5.4249312","52.9201175","2013-05-13T09:20:59Z","1","920"
"2001-2013","5.4249575","52.9201401","2013-05-13T09:36:11Z","1","921"
"2001-2013","5.4249695","52.9201238","2013-05-13T09:51:24Z","1","922"
"2001-2013","5.4249581","52.920133","2013-05-13T10:06:50Z","1","923"
"2001-2013","5.4249715","52.9201273","2013-05-13T10:22:03Z","1","924"
"2001-2013","5.4249792","52.9201233","2013-05-13T11:39:55Z","1","931"
"2001-2013","5.4249821","52.9201356","2013-05-13T11:54:52Z","1","932"
"2001-2013","5.4249164","52.9201438","2013-05-13T12:45:14Z","1","936"
