,ID,longitude,latitude,date_time,b,t
1,1008-2013,5.4385093,52.9288138,5/25/2013 7:54,-1,5/25/2013 07:54:00
2,1008-2013,5.4276681,52.9230116,5/25/2013 8:55,-1,5/25/2013 08:55:00
3,1008-2013,5.4334599,52.9245883,5/25/2013 9:55,-1,5/25/2013 09:55:00
4,1008-2013,5.4335123,52.9245482,5/25/2013 10:56,-1,5/25/2013 10:56:00
5,1008-2013,5.4975631,52.9444189,5/25/2013 12:23,-1,5/25/2013 12:23:00
6,1008-2013,5.497526,52.9443795,5/25/2013 13:23,-1,5/25/2013 13:23:00
7,1008-2013,5.4973487,52.9444891,5/25/2013 14:24,-1,5/25/2013 14:24:00
8,1008-2013,5.4440457,52.9249655,5/25/2013 15:25,-1,5/25/2013 15:25:00
9,1008-2013,5.497376,52.9444426,5/25/2013 16:25,-1,5/25/2013 16:25:00
10,1008-2013,5.4973904,52.9444503,5/25/2013 17:25,-1,5/25/2013 17:25:00
11,1008-2013,5.4974152,52.9444543,5/25/2013 18:26,-1,5/25/2013 18:26:00
12,1008-2013,5.4974064,52.9444427,5/25/2013 19:26,-1,5/25/2013 19:26:00
13,1008-2013,5.4973593,52.9446088,5/25/2013 20:26,-1,5/25/2013 20:26:00
14,1008-2013,5.4972763,52.9443867,5/25/2013 21:27,-1,5/25/2013 21:27:00
15,1008-2013,5.4973465,52.9444652,5/25/2013 22:27,-1,5/25/2013 22:27:00
16,1008-2013,5.4973788,52.9443909,5/25/2013 23:27,-1,5/25/2013 23:27:00
17,1008-2013,5.4974685,52.9444192,5/26/2013 0:27,-1,5/26/2013 00:27:00
18,1008-2013,5.4974083,52.94449,5/26/2013 1:27,-1,5/26/2013 01:27:00
19,1008-2013,5.4973513,52.9444319,5/26/2013 2:28,-1,5/26/2013 02:28:00
20,1008-2013,5.4973181,52.944339,5/26/2013 3:28,-1,5/26/2013 03:28:00
21,1008-2013,5.4973154,52.9444826,5/26/2013 4:29,-1,5/26/2013 04:29:00
22,1008-2013,5.4401857,52.9263681,5/26/2013 5:29,-1,5/26/2013 05:29:00
23,1008-2013,5.4363331,52.9253917,5/26/2013 6:30,-1,5/26/2013 06:30:00
24,1008-2013,5.435883,52.9279445,5/26/2013 7:31,-1,5/26/2013 07:31:00
25,1008-2013,5.4333365,52.92448,5/26/2013 8:33,-1,5/26/2013 08:33:00
26,1008-2013,5.4333733,52.9244553,5/26/2013 9:33,-1,5/26/2013 09:33:00
27,1008-2013,5.4333098,52.9244564,5/26/2013 10:34,-1,5/26/2013 10:34:00
28,1008-2013,5.4976603,52.9444137,5/26/2013 11:36,-1,5/26/2013 11:36:00
29,1008-2013,5.4972941,52.9445727,5/26/2013 12:36,-1,5/26/2013 12:36:00
30,1008-2013,5.4973577,52.9444466,5/26/2013 13:37,-1,5/26/2013 13:37:00
31,1008-2013,5.4978673,52.9443636,5/26/2013 14:37,-1,5/26/2013 14:37:00
32,1008-2013,5.4401453,52.9236407,5/26/2013 16:41,-1,5/26/2013 16:41:00
33,1008-2013,5.4973561,52.9445204,5/26/2013 17:43,-1,5/26/2013 17:43:00
34,1008-2013,5.4974043,52.9445053,5/26/2013 18:43,-1,5/26/2013 18:43:00
35,1008-2013,5.4974491,52.9445352,5/26/2013 19:43,-1,5/26/2013 19:43:00
36,1008-2013,5.4973685,52.9444209,5/26/2013 20:44,-1,5/26/2013 20:44:00
37,1008-2013,5.4974465,52.9445159,5/26/2013 21:44,-1,5/26/2013 21:44:00
38,1008-2013,5.4974152,52.9444762,5/26/2013 22:44,-1,5/26/2013 22:44:00
39,1008-2013,5.4974147,52.9444975,5/27/2013 0:45,-1,5/27/2013 00:45:00
40,1008-2013,5.4973854,52.9444619,5/27/2013 1:45,-1,5/27/2013 01:45:00
41,1008-2013,5.4973896,52.9444499,5/27/2013 2:46,-1,5/27/2013 02:46:00
42,1008-2013,5.4973283,52.9442936,5/27/2013 3:46,-1,5/27/2013 03:46:00
43,1008-2013,5.4973145,52.9444967,5/27/2013 4:46,-1,5/27/2013 04:46:00
44,1008-2013,5.4332976,52.9244658,5/27/2013 5:47,-1,5/27/2013 05:47:00
45,1008-2013,5.4340271,52.9201007,5/27/2013 6:47,-1,5/27/2013 06:47:00
