,ID,date_time,latitude,longitude,b,t
1,2004-2013_B3BLYB,5/25/2013 8:55,52.9230053,5.4276747,-1,05/25/2013 08:55:22
2,2004-2013_B3BLYB,5/25/2013 10:59,52.9224234,5.4350748,-1,05/25/2013 10:59:02
3,2004-2013_B3BLYB,5/25/2013 11:59,52.9444103,5.4975493,2,05/25/2013 11:59:39
4,2004-2013_B3BLYB,5/25/2013 13:00,52.9444073,5.4975511,2,05/25/2013 13:00:02
5,2004-2013_B3BLYB,5/25/2013 14:00,52.944513,5.4973221,2,05/25/2013 14:00:33
6,2004-2013_B3BLYB,5/25/2013 15:01,52.94452,5.4973509,2,05/25/2013 15:01:10
7,2004-2013_B3BLYB,5/25/2013 16:01,52.9439325,5.4849344,2,05/25/2013 16:01:16
8,2004-2013_B3BLYB,5/25/2013 17:01,52.9445329,5.4974079,2,05/25/2013 17:01:16
9,2004-2013_B3BLYB,5/25/2013 18:02,52.9444568,5.4973511,2,05/25/2013 18:02:03
10,2004-2013_B3BLYB,5/25/2013 19:02,52.9444221,5.4974264,2,05/25/2013 19:02:07
11,2004-2013_B3BLYB,5/25/2013 20:02,52.9443771,5.4975096,2,05/25/2013 20:02:24
12,2004-2013_B3BLYB,5/25/2013 21:02,52.9444085,5.497356,2,05/25/2013 21:02:39
13,2004-2013_B3BLYB,5/25/2013 22:02,52.9444612,5.4973618,2,05/25/2013 22:02:33
14,2004-2013_B3BLYB,5/25/2013 23:02,52.9444467,5.497499,2,05/25/2013 23:02:51
15,2004-2013_B3BLYB,5/26/2013 0:03,52.9444788,5.4973677,2,05/26/2013 00:03:09
16,2004-2013_B3BLYB,5/26/2013 1:03,52.9444787,5.4974052,2,05/26/2013 01:03:20
17,2004-2013_B3BLYB,5/26/2013 2:03,52.9444884,5.4978031,2,05/26/2013 02:03:32
18,2004-2013_B3BLYB,5/26/2013 3:04,52.9444597,5.49735,2,05/26/2013 03:04:08
19,2004-2013_B3BLYB,5/26/2013 4:04,52.9444314,5.4973701,2,05/26/2013 04:04:23
20,2004-2013_B3BLYB,5/26/2013 5:04,52.9445323,5.4974173,2,05/26/2013 05:04:35
21,2004-2013_B3BLYB,5/26/2013 6:07,52.9251231,5.4352691,1,05/26/2013 06:07:48
22,2004-2013_B3BLYB,5/26/2013 7:08,52.9279127,5.4359013,1,05/26/2013 07:08:32
23,2004-2013_B3BLYB,5/26/2013 8:11,52.9286535,5.4343703,1,05/26/2013 08:11:20
24,2004-2013_B3BLYB,5/26/2013 9:12,52.9287102,5.4348078,1,05/26/2013 09:12:08
25,2004-2013_B3BLYB,5/26/2013 10:12,52.9293517,5.4326511,1,05/26/2013 10:12:35
26,2004-2013_B3BLYB,5/26/2013 11:13,52.9294425,5.4366172,1,05/26/2013 11:13:55
27,2004-2013_B3BLYB,5/26/2013 12:17,52.9290297,5.4345547,1,05/26/2013 12:17:38
28,2004-2013_B3BLYB,5/26/2013 13:20,52.9301132,5.4384588,-1,05/26/2013 13:20:07
29,2004-2013_B3BLYB,5/26/2013 14:21,52.9301908,5.4380498,-1,05/26/2013 14:21:08
30,2004-2013_B3BLYB,5/26/2013 14:51,52.9300441,5.4377415,-1,05/26/2013 14:51:41
31,2004-2013_B3BLYB,5/26/2013 15:06,52.9301725,5.4379415,-1,05/26/2013 15:06:58
32,2004-2013_B3BLYB,5/26/2013 15:33,52.9301759,5.4379234,-1,05/26/2013 15:33:48
33,2004-2013_B3BLYB,5/26/2013 16:03,52.9301967,5.4378639,-1,05/26/2013 16:03:56
34,2004-2013_B3BLYB,5/26/2013 16:34,52.9301633,5.438081,-1,05/26/2013 16:34:27
35,2004-2013_B3BLYB,5/26/2013 16:49,52.930167,5.4380741,-1,05/26/2013 16:49:56
36,2004-2013_B3BLYB,5/26/2013 17:05,52.9302042,5.4382437,-1,05/26/2013 17:05:07
37,2004-2013_B3BLYB,5/26/2013 17:33,52.9302225,5.4382952,-1,05/26/2013 17:33:52
38,2004-2013_B3BLYB,5/26/2013 18:04,52.9301203,5.438283,-1,05/26/2013 18:04:08
39,2004-2013_B3BLYB,5/26/2013 18:34,52.9299783,5.438499,-1,05/26/2013 18:34:25
40,2004-2013_B3BLYB,5/26/2013 19:04,52.9302814,5.4384326,-1,05/26/2013 19:04:05
41,2004-2013_B3BLYB,5/26/2013 19:20,52.9302583,5.4384583,-1,05/26/2013 19:20:16
42,2004-2013_B3BLYB,5/26/2013 19:35,52.9303137,5.4384771,-1,05/26/2013 19:35:27
43,2004-2013_B3BLYB,5/26/2013 20:08,52.9303225,5.4384247,-1,05/26/2013 20:08:08
44,2004-2013_B3BLYB,5/26/2013 20:38,52.9287087,5.434819,1,05/26/2013 20:38:41
45,2004-2013_B3BLYB,5/26/2013 21:08,52.9287096,5.4347738,1,05/26/2013 21:08:36
46,2004-2013_B3BLYB,5/26/2013 21:38,52.9287001,5.4347629,1,05/26/2013 21:38:40
47,2004-2013_B3BLYB,5/26/2013 22:08,52.9287043,5.4347578,1,05/26/2013 22:08:41
48,2004-2013_B3BLYB,5/26/2013 22:38,52.9287024,5.4347805,1,05/26/2013 22:38:49
49,2004-2013_B3BLYB,5/26/2013 23:09,52.9287022,5.4347262,1,05/26/2013 23:09:23
50,2004-2013_B3BLYB,5/26/2013 23:39,52.9286864,5.4348161,1,05/26/2013 23:39:38
51,2004-2013_B3BLYB,5/27/2013 0:09,52.9287031,5.4347879,1,05/27/2013 00:09:39
52,2004-2013_B3BLYB,5/27/2013 0:39,52.9287046,5.4347666,1,05/27/2013 00:39:30
53,2004-2013_B3BLYB,5/27/2013 1:09,52.928686,5.434806,1,05/27/2013 01:09:38
54,2004-2013_B3BLYB,5/27/2013 1:39,52.9286763,5.4348393,1,05/27/2013 01:39:44
55,2004-2013_B3BLYB,5/27/2013 2:09,52.9286597,5.4349116,1,05/27/2013 02:09:37
56,2004-2013_B3BLYB,5/27/2013 2:39,52.9286501,5.4347055,1,05/27/2013 02:39:25
57,2004-2013_B3BLYB,5/27/2013 3:09,52.9286994,5.4347305,1,05/27/2013 03:09:31
58,2004-2013_B3BLYB,5/27/2013 3:32,52.9286833,5.4348001,1,05/27/2013 03:32:08
59,2004-2013_B3BLYB,5/27/2013 3:47,52.9286858,5.4347764,1,05/27/2013 03:47:09
60,2004-2013_B3BLYB,5/27/2013 4:02,52.9297947,5.4386841,-1,05/27/2013 04:02:06
61,2004-2013_B3BLYB,5/27/2013 4:17,52.9297674,5.4384641,-1,05/27/2013 04:17:16
62,2004-2013_B3BLYB,5/27/2013 4:32,52.9301529,5.4383767,-1,05/27/2013 04:32:13
63,2004-2013_B3BLYB,5/27/2013 5:02,52.9302482,5.4380658,-1,05/27/2013 05:02:56
64,2004-2013_B3BLYB,5/27/2013 5:18,52.9302423,5.4379938,-1,05/27/2013 05:18:45
65,2004-2013_B3BLYB,5/27/2013 5:34,52.9302879,5.4379385,-1,05/27/2013 05:34:50
66,2004-2013_B3BLYB,5/27/2013 6:06,52.9302294,5.4380081,-1,05/27/2013 06:06:18
67,2004-2013_B3BLYB,5/27/2013 6:21,52.9302333,5.4380145,-1,05/27/2013 06:21:31
68,2004-2013_B3BLYB,5/27/2013 6:37,52.9302045,5.4380624,-1,05/27/2013 06:37:15
69,2004-2013_B3BLYB,5/27/2013 6:52,52.930236,5.4380047,-1,05/27/2013 06:52:27
70,2004-2013_B3BLYB,5/27/2013 7:07,52.9301929,5.4380741,-1,05/27/2013 07:07:23
71,2004-2013_B3BLYB,5/27/2013 7:22,52.9288127,5.4350719,1,05/27/2013 07:22:19
72,2004-2013_B3BLYB,5/27/2013 7:37,52.9302495,5.4380788,-1,05/27/2013 07:37:30
73,2004-2013_B3BLYB,5/27/2013 7:52,52.9302815,5.4381068,-1,05/27/2013 07:52:42
74,2004-2013_B3BLYB,5/27/2013 8:11,52.9289921,5.4343623,1,05/27/2013 08:11:18
75,2004-2013_B3BLYB,5/27/2013 8:26,52.9297498,5.4354064,1,05/27/2013 08:26:51
76,2004-2013_B3BLYB,5/27/2013 8:42,52.9302104,5.4380376,-1,05/27/2013 08:42:03
77,2004-2013_B3BLYB,5/27/2013 9:12,52.9269117,5.4409874,-1,05/27/2013 09:12:06
78,2004-2013_B3BLYB,5/27/2013 9:41,52.9268997,5.4409965,-1,05/27/2013 09:41:46
79,2004-2013_B3BLYB,5/27/2013 10:13,52.9270635,5.441066,-1,05/27/2013 10:13:43
80,2004-2013_B3BLYB,5/27/2013 10:44,52.9296552,5.4344981,1,05/27/2013 10:44:09
81,2004-2013_B3BLYB,5/27/2013 11:14,52.9295238,5.4346512,1,05/27/2013 11:14:01
82,2004-2013_B3BLYB,5/27/2013 11:43,52.9297629,5.4346118,1,05/27/2013 11:43:38
83,2004-2013_B3BLYB,5/27/2013 11:58,52.9296795,5.4345661,1,05/27/2013 11:58:34
84,2004-2013_B3BLYB,5/27/2013 12:13,52.9294649,5.4344891,1,05/27/2013 12:13:28
85,2004-2013_B3BLYB,5/27/2013 12:43,52.9294589,5.434538,1,05/27/2013 12:43:22
86,2004-2013_B3BLYB,5/27/2013 13:13,52.9316024,5.4324501,1,05/27/2013 13:13:19
87,2004-2013_B3BLYB,5/27/2013 13:28,52.9286626,5.4347944,1,05/27/2013 13:28:25
88,2004-2013_B3BLYB,5/27/2013 13:44,52.9286626,5.4348351,1,05/27/2013 13:44:13
89,2004-2013_B3BLYB,5/27/2013 14:14,52.9286729,5.4348144,1,05/27/2013 14:14:18
90,2004-2013_B3BLYB,5/27/2013 14:43,52.9286472,5.4346983,1,05/27/2013 14:43:47
91,2004-2013_B3BLYB,5/27/2013 15:14,52.9286822,5.4347882,1,05/27/2013 15:14:08
92,2004-2013_B3BLYB,5/27/2013 15:29,52.9286813,5.434816,1,05/27/2013 15:29:12
93,2004-2013_B3BLYB,5/27/2013 15:44,52.9286671,5.4348191,1,05/27/2013 15:44:07
94,2004-2013_B3BLYB,5/27/2013 16:13,52.9286245,5.4348423,1,05/27/2013 16:13:51
95,2004-2013_B3BLYB,5/27/2013 16:44,52.9286488,5.4347904,1,05/27/2013 16:44:02
96,2004-2013_B3BLYB,5/27/2013 16:59,52.9286765,5.4347522,1,05/27/2013 16:59:04
97,2004-2013_B3BLYB,5/27/2013 17:14,52.9287616,5.4339726,1,05/27/2013 17:14:30
98,2004-2013_B3BLYB,5/27/2013 17:43,52.9288433,5.435146,1,05/27/2013 17:43:53
99,2004-2013_B3BLYB,5/27/2013 17:58,52.9288613,5.4351636,1,05/27/2013 17:58:47
100,2004-2013_B3BLYB,5/27/2013 18:14,52.9288233,5.4343084,1,05/27/2013 18:14:16
101,2004-2013_B3BLYB,5/27/2013 18:29,52.9286941,5.4347897,1,05/27/2013 18:29:15
102,2004-2013_B3BLYB,5/27/2013 18:44,52.9286732,5.4347382,1,05/27/2013 18:44:38
103,2004-2013_B3BLYB,5/27/2013 19:00,52.9283744,5.4343002,1,05/27/2013 19:00:22
104,2004-2013_B3BLYB,5/27/2013 19:15,52.9287641,5.4351895,1,05/27/2013 19:15:30
