ID,date_time,latitude,longitude,b,t
2014-2013,5/10/2013 11:12,52.9154865,5.4503024,-1,05/10/2013 11:12:19
2014-2013,5/10/2013 12:12,52.9249868,5.4441803,-1,05/10/2013 12:12:31
2014-2013,5/10/2013 13:13,52.9249862,5.4440951,-1,05/10/2013 13:13:01
2014-2013,5/10/2013 14:13,52.9249992,5.444058,-1,05/10/2013 14:13:26
2014-2013,5/10/2013 15:13,52.924981,5.4435665,-1,05/10/2013 15:13:31
2014-2013,5/10/2013 16:14,52.925075,5.4443179,-1,05/10/2013 16:14:01
2014-2013,5/10/2013 17:14,52.9444089,5.4974035,-1,05/10/2013 17:14:29
2014-2013,5/10/2013 18:14,52.9443921,5.4973893,-1,05/10/2013 18:14:55
2014-2013,5/10/2013 19:15,52.9444945,5.497343,-1,05/10/2013 19:15:15
2014-2013,5/10/2013 20:16,52.9445922,5.4973905,-1,05/10/2013 20:16:08
2014-2013,5/10/2013 21:16,52.9449226,5.4974207,-1,05/10/2013 21:16:53
2014-2013,5/10/2013 22:17,52.9445617,5.4974026,-1,05/10/2013 22:17:05
2014-2013,5/10/2013 23:17,52.9445008,5.4973592,-1,05/10/2013 23:17:26
2014-2013,5/11/2013 0:18,52.944574,5.4973222,-1,05/11/2013 00:18:02
2014-2013,5/11/2013 1:18,52.9444564,5.4973404,-1,05/11/2013 01:18:26
2014-2013,5/11/2013 2:18,52.9440023,5.4999009,-1,05/11/2013 02:18:58
2014-2013,5/11/2013 3:19,52.9445206,5.497313,-1,05/11/2013 03:19:32
2014-2013,5/11/2013 4:20,52.9444285,5.4971341,-1,05/11/2013 04:20:00
2014-2013,5/11/2013 5:20,52.9233386,5.4344205,-1,05/11/2013 05:20:17
2014-2013,5/11/2013 6:21,52.9244393,5.4334394,-1,05/11/2013 06:21:08
2014-2013,5/11/2013 7:21,52.9193863,5.4407244,-1,05/11/2013 07:21:08
2014-2013,5/11/2013 8:21,52.9193848,5.4407485,-1,05/11/2013 08:21:06
2014-2013,5/11/2013 9:21,52.9445015,5.4972416,-1,05/11/2013 09:21:27
2014-2013,5/11/2013 10:21,52.9444955,5.4973426,-1,05/11/2013 10:21:38
2014-2013,5/11/2013 11:22,52.9437002,5.4983413,-1,05/11/2013 11:22:03
2014-2013,5/11/2013 12:22,52.9445536,5.4973185,-1,05/11/2013 12:22:19
2014-2013,5/11/2013 13:22,52.9443635,5.4971646,-1,05/11/2013 13:22:41
2014-2013,5/11/2013 14:23,52.9444566,5.4973317,-1,05/11/2013 14:23:26
2014-2013,5/11/2013 15:23,52.9446713,5.4972315,-1,05/11/2013 15:23:33
2014-2013,5/11/2013 16:24,52.9444703,5.4973608,-1,05/11/2013 16:24:08
2014-2013,5/11/2013 17:24,52.9448174,5.4971676,-1,05/11/2013 17:24:14
2014-2013,5/11/2013 18:24,52.944369,5.4975441,-1,05/11/2013 18:24:31
2014-2013,5/11/2013 19:25,52.9444781,5.4974017,-1,05/11/2013 19:25:08
2014-2013,5/11/2013 20:25,52.9444453,5.4974176,-1,05/11/2013 20:25:06
2014-2013,5/11/2013 21:25,52.944461,5.4973334,-1,05/11/2013 21:25:38
2014-2013,5/11/2013 22:25,52.9444893,5.4973976,-1,05/11/2013 22:25:33
2014-2013,5/11/2013 23:25,52.9444477,5.4974232,-1,05/11/2013 23:25:34
2014-2013,5/12/2013 0:26,52.9445838,5.4974545,-1,05/12/2013 00:26:08
2014-2013,5/12/2013 1:26,52.9444608,5.4973873,-1,05/12/2013 01:26:05
2014-2013,5/12/2013 2:26,52.9444614,5.4973362,-1,05/12/2013 02:26:38
2014-2013,5/12/2013 3:26,52.9444323,5.4973427,-1,05/12/2013 03:26:39
2014-2013,5/12/2013 4:26,52.9446066,5.4973734,-1,05/12/2013 04:26:40
2014-2013,5/12/2013 5:26,52.9223424,5.4609455,-1,05/12/2013 05:26:56
2014-2013,5/12/2013 6:27,52.9221797,5.4249704,-1,05/12/2013 06:27:38
2014-2013,5/12/2013 7:41,52.9260385,5.4303771,-1,05/12/2013 07:41:09
2014-2013,5/12/2013 8:41,52.9259566,5.4304891,-1,05/12/2013 08:41:21
2014-2013,5/12/2013 9:41,52.9259993,5.4303536,-1,05/12/2013 09:41:43
2014-2013,5/12/2013 10:42,52.9263259,5.4301866,-1,05/12/2013 10:42:39
2014-2013,5/12/2013 11:42,52.9263917,5.430162,-1,05/12/2013 11:42:44
2014-2013,5/12/2013 12:43,52.9260394,5.4303399,-1,05/12/2013 12:43:33
2014-2013,5/12/2013 13:43,52.9258998,5.4304647,-1,05/12/2013 13:43:43
2014-2013,5/12/2013 14:44,52.9260611,5.4303767,-1,05/12/2013 14:44:28
2014-2013,5/12/2013 15:44,52.9260812,5.4304834,-1,05/12/2013 15:44:37
2014-2013,5/12/2013 16:45,52.9263833,5.4301531,-1,05/12/2013 16:45:09
2014-2013,5/12/2013 17:45,52.9262395,5.4302267,-1,05/12/2013 17:45:33
2014-2013,5/12/2013 18:45,52.9264396,5.4301014,-1,05/12/2013 18:45:28
2014-2013,5/12/2013 19:46,52.9260474,5.4303743,1,05/12/2013 19:46:09
2014-2013,5/12/2013 20:46,52.9260432,5.4303988,1,05/12/2013 20:46:22
2014-2013,5/12/2013 21:46,52.9260355,5.4303864,1,05/12/2013 21:46:59
