,ID,date_time,latitude,longitude,b,t
809,2023-2013_Y2RLLB,5/25/2013 7:54,52.9288004,5.4385199,-1,05/25/2013 07:54:00
810,2023-2013_Y2RLLB,5/25/2013 8:56,52.923025,5.4276394,-1,05/25/2013 08:56:00
811,2023-2013_Y2RLLB,5/25/2013 10:59,52.9220111,5.435407,-1,05/25/2013 10:59:00
812,2023-2013_Y2RLLB,5/25/2013 11:59,52.9443757,5.4975155,-1,05/25/2013 11:59:00
813,2023-2013_Y2RLLB,5/25/2013 13:00,52.9444098,5.4974261,-1,05/25/2013 13:00:00
814,2023-2013_Y2RLLB,5/25/2013 14:00,52.9446171,5.4973082,-1,05/25/2013 14:00:00
815,2023-2013_Y2RLLB,5/25/2013 15:01,52.9445044,5.4973611,-1,05/25/2013 15:01:00
816,2023-2013_Y2RLLB,5/25/2013 16:01,52.9439161,5.4849643,-1,05/25/2013 16:01:00
817,2023-2013_Y2RLLB,5/25/2013 17:01,52.944476,5.4974042,-1,05/25/2013 17:01:00
818,2023-2013_Y2RLLB,5/25/2013 18:02,52.9447895,5.4974015,-1,05/25/2013 18:02:00
819,2023-2013_Y2RLLB,5/25/2013 19:03,52.9444646,5.4974251,-1,05/25/2013 19:03:00
820,2023-2013_Y2RLLB,5/25/2013 20:03,52.9445161,5.4974186,-1,05/25/2013 20:03:00
821,2023-2013_Y2RLLB,5/25/2013 21:04,52.9443355,5.4972433,-1,05/25/2013 21:04:00
822,2023-2013_Y2RLLB,5/25/2013 22:04,52.9444734,5.4973527,-1,05/25/2013 22:04:00
823,2023-2013_Y2RLLB,5/25/2013 23:04,52.9444818,5.4976182,-1,05/25/2013 23:04:00
824,2023-2013_Y2RLLB,5/26/2013 0:05,52.9444751,5.4973349,-1,05/26/2013 00:05:00
825,2023-2013_Y2RLLB,5/26/2013 1:05,52.944299,5.4978449,-1,05/26/2013 01:05:00
826,2023-2013_Y2RLLB,5/26/2013 2:06,52.9444593,5.4972106,-1,05/26/2013 02:06:00
827,2023-2013_Y2RLLB,5/26/2013 3:06,52.9445161,5.4973321,-1,05/26/2013 03:06:00
828,2023-2013_Y2RLLB,5/26/2013 4:06,52.9445592,5.4974489,-1,05/26/2013 04:06:00
829,2023-2013_Y2RLLB,5/26/2013 5:07,52.9438671,5.4852339,-1,05/26/2013 05:07:00
830,2023-2013_Y2RLLB,5/26/2013 7:10,52.927915,5.4358881,-1,05/26/2013 07:10:00
831,2023-2013_Y2RLLB,5/26/2013 8:14,52.924491,5.4332641,-1,05/26/2013 08:14:00
832,2023-2013_Y2RLLB,5/26/2013 9:15,52.9244831,5.4333383,-1,05/26/2013 09:15:00
833,2023-2013_Y2RLLB,5/26/2013 10:16,52.9243916,5.4333782,-1,05/26/2013 10:16:00
834,2023-2013_Y2RLLB,5/26/2013 11:17,52.9444662,5.4973324,-1,05/26/2013 11:17:00
835,2023-2013_Y2RLLB,5/26/2013 12:17,52.9445018,5.4973876,-1,05/26/2013 12:17:00
836,2023-2013_Y2RLLB,5/26/2013 13:17,52.9445813,5.4971708,-1,05/26/2013 13:17:00
837,2023-2013_Y2RLLB,5/26/2013 14:18,52.9444483,5.4973773,-1,05/26/2013 14:18:00
838,2023-2013_Y2RLLB,5/26/2013 15:18,52.9181876,5.4352067,-1,05/26/2013 15:18:00
839,2023-2013_Y2RLLB,5/26/2013 16:24,52.9228595,5.4382231,-1,05/26/2013 16:24:00
840,2023-2013_Y2RLLB,5/26/2013 17:24,52.9445236,5.4973606,-1,05/26/2013 17:24:00
841,2023-2013_Y2RLLB,5/26/2013 18:25,52.9443759,5.4973325,-1,05/26/2013 18:25:00
842,2023-2013_Y2RLLB,5/26/2013 19:25,52.9444865,5.4974114,-1,05/26/2013 19:25:00
843,2023-2013_Y2RLLB,5/26/2013 20:26,52.9443583,5.4973378,-1,05/26/2013 20:26:00
844,2023-2013_Y2RLLB,5/26/2013 21:26,52.9444572,5.4973807,-1,05/26/2013 21:26:00
845,2023-2013_Y2RLLB,5/26/2013 22:26,52.9444921,5.4973787,-1,05/26/2013 22:26:00
846,2023-2013_Y2RLLB,5/26/2013 23:26,52.9444382,5.4973133,-1,05/26/2013 23:26:00
847,2023-2013_Y2RLLB,5/27/2013 0:27,52.9444905,5.497392,-1,05/27/2013 00:27:00
848,2023-2013_Y2RLLB,5/27/2013 1:27,52.944523,5.4974092,-1,05/27/2013 01:27:00
849,2023-2013_Y2RLLB,5/27/2013 2:28,52.9444333,5.4972741,-1,05/27/2013 02:28:00
850,2023-2013_Y2RLLB,5/27/2013 3:28,52.9444933,5.4972692,-1,05/27/2013 03:28:00
