burst,nestloc_UTM_W,nestloc_UTM_N,Colourcode.x,NestID,NestSuccess,StartKnownActive,EndKnownActive,Comment,Colourcode.y,Ringnumber,Sex,ID,TagDeployedDate,YearDeployed
123424-2016,5.441471027,52.92031532,Y5RRLB,1606905605,Failed,21-Apr-16,10-May-16,NA,Y5RRLB,2504860,Female,123424,05/10/2016,2016
134747-2016,5.443450371,52.92111983,Y6YLLR,1606905607,Hatched,18-May-16,25-May-16,NA,Y6YLLR,1438803,Female,134747,05/25/2016,2016
134755-2016,5.436915227,52.92502167,Y5RYBR,1606903001,Hatched,26-Apr-16,13-May-16,NA,Y5RYBR,2504854,Female,134755,05/07/2016,2016
144129-2016,5.440029227,52.92721466,B1BBLR,1606901601,Failed,20-Apr-16,15-May-16,NA,B1BBLR,2504698,Female,144129,05/15/2016,2016
144154-2015,5.438666149,52.92705383,B1RRBY,1506901503,Hatched,05-May-15,30-May-15,NA,B1RRBY,2510497,Female,144154,05/28/2015,2015
144418-2015,5.436723903,52.92055669,Y5RRRL,1506904602,Hatched,19-Apr-15,16-May-15,NA,Y5RRRL,2504866,Female,144418,05/16/2015,2015
144419-2015,5.431862601,52.9216814,B6RBLB,1506902404,Hatched,25-Apr-15,22-May-15,NA,B6RBLB,2510305,Female,144419,05/18/2015,2015
144420-2015,5.434152111,52.92112196,Y6LBRL,1506903901,Hatched,17-Apr-15,10-May-15,NA,Y6LBRL,1443514,Female,144420,05/10/2015,2015
144421-2015,5.435366275,52.92817358,B1RRYR,1506901002,Hatched,11-May-15,20-May-15,NA,B1RRYR,2510493,Female,144421,05/20/2015,2015
144422-2015,5.437452777,52.92028996,Y4BBYR,1506904604,Hatched,04-May-15,26-May-15,NA,Y4BBYR,3654049,Female,144422,05/25/2015,2015
144423-2015,5.437630468,52.93059986,B6RBLY,1506901303,Hatched,02-May-15,28-May-15,NA,B6RBLY,2510307,Female,144423,05/18/2015,2015
144424-2015,5.441098409,52.92241806,B6RBLR,1506904403,Hatched,20-Apr-15,16-May-15,NA,B6RBLR,2510487,Female,144424,05/15/2015,2015
144425-2015,5.440516146,52.92714171,B1RRYY,1506901604,Failed,28-Apr-15,22-May-15,NA,B1RRYY,2510491,Female,144425,05/19/2015,2015
144426-2015,5.436228205,52.92020719,B6RBYL,1506904601,Hatched,13-Apr-15,09-May-15,NA,B6RBYL,2510367,Female,144426,05/07/2015,2015
144427-2015,5.433929711,52.92113551,B5RBLY,1506903903,Hatched,20-Apr-15,15-May-15,NA,B5RBLY,2505016,Female,144427,05/14/2015,2015
144428-2015,5.436264482,52.92032334,Y2RYLY,1506904603,Hatched,03-May-15,21-May-15,NA,Y2RYLY,3654014,Female,144428,05/20/2015,2015
144429-2015,5.439869945,52.9251768,Y3YBBL,1506903212,Hatched,17-May-15,23-May-15,NA,Y3YBBL,1430172,Female,144429,05/22/2015,2015
144430-2015,5.436247152,52.93061027,B1LYBL,1506901107,Hatched,20-Apr-15,15-May-15,NA,B1LYBL,2510484,Female,144430,05/14/2015,2015
144431-2015,5.436010609,52.92745901,Y4BRRR,1506901406,Failed,20-May-15,26-May-15,NA,Y4BRRR,3659780,Female,144431,05/23/2015,2015
144432-2015,5.42509199,52.92032723,B6RBLL,1506901802,Hatched,21-Apr-15,16-May-15,NA,B6RBLL,2510485,Female,144432,05/15/2015,2015
144433-2015,5.432662289,52.92294185,D1DD44,1506902503,Hatched,16-Apr-15,10-May-15,NA,D1DD44,2510310,Female,144433,05/09/2015,2015
144434-2015,5.441922166,52.92542236,B6RRLY,1506903303,Hatched,26-Apr-15,17-May-15,NA,B6RRLY,2505038,Female,144434,05/16/2015,2015
144435-2015,5.428430382,52.92601372,B6RRYL,1506900404,Hatched,24-Apr-15,15-May-15,NA,B6RRYL,2505031,Female,144435,05/13/2015,2015
144436-2015,5.439013816,52.92556305,Y2RRYB,1506903210,Hatched,29-Apr-15,25-May-15,NA,Y2RRYB,3619047,Female,144436,05/23/2015,2015
144437-2015,5.431862601,52.9216814,B6RBLB,1506902404,Hatched,25-Apr-15,22-May-15,NA,B1LYBR,2510490,Female,144437,05/19/2015,2015
144438-2015,5.425701139,52.91951452,B5RYYL,1506903406,Hatched,01-May-15,24-May-15,NA,B5RYYL,2505018,Female,144438,05/22/2015,2015
144439-2015,5.431725489,52.9250741,B1RRYB,1506900502,Hatched,21-Apr-15,23-May-15,NA,B1RRYB,2510494,Female,144439,05/21/2015,2015
144440-2015,5.425690647,52.92198746,Y5RRLR,1506901901,Hatched,30-Apr-15,21-May-15,NA,Y5RRLR,2504859,Female,144440,05/14/2015,2015
144441-2015,5.439882416,52.92751441,B6RBYB,1506903301,Hatched,23-Apr-15,13-May-15,NA,B6RBYB,2510483,Female,144441,05/13/2015,2015
144442-2015,5.434537714,52.92083531,Y5YLRR,1506903904,Hatched,20-Apr-15,11-May-15,NA,Y5YLRR,2503309,Female,144442,05/11/2015,2015
144443-2015,5.44074417,52.92326158,B1RRBR,1506904405,Hatched,05-May-15,26-May-15,NA,B1RRBR,2504875,Female,144443,05/24/2015,2015
151682-2016,5.438457953,52.92414478,B1RLLR,1606903102,Failed,18-May-16,31-May-16,NA,B1RLLR,2504682,Female,151682,05/31/2016,2016
157535-2017,5.435287865,52.92704223,B4LBLR,1706901401,Hatched,05-Apr-17,02-May-17,NA,B4LBLR,2504673,Female,157535,05/04/2017,2017
157536-2017,5.437281148,52.92915037,B5RBLB,1706901101,Hatched,06-Apr-17,04-May-17,NA,B5RBLB,2505015,Male,157536,04/30/2017,2017
157558-2017,5.438723651,52.9275472,Y5RLYB,1706901504,Hatched,21-Apr-17,12-May-17,NA,Y5RLYB,2504857,Female,157558,05/09/2017,2017
