"","x","y","t","date_time"
"1",667269.468413769,5869012.30805746,1364457010,2013-03-28 03:50:10
"2",663577.664815216,5866646.64915796,1364467075,2013-03-28 06:37:55
"3",663580.923923758,5866653.12835615,1364487208,2013-03-28 12:13:28
"4",667810.884875925,5869004.38976176,1364513476,2013-03-28 19:31:16
"5",667810.749641707,5869014.65120821,1364521040,2013-03-28 21:37:20
"6",667838.354855631,5869018.08410117,1364524691,2013-03-28 22:38:11
"7",667793.726053344,5868989.52901399,1364532115,2013-03-29 00:41:55
"8",667813.152711054,5869011.50580739,1364535807,2013-03-29 01:43:27
"9",667818.329571785,5869010.21624077,1364539450,2013-03-29 02:44:10
"10",667816.905238654,5869016.54681774,1364543129,2013-03-29 03:45:29
"11",667806.450911609,5868991.48623935,1364546765,2013-03-29 04:46:05
"12",667804.846102651,5869000.68327835,1364550398,2013-03-29 05:46:38
"13",667815.842488793,5869002.6360393,1364554054,2013-03-29 06:47:34
"14",667803.236399787,5869000.93901852,1364557672,2013-03-29 07:47:52
"15",663583.824274566,5866643.59571491,1364568668,2013-03-29 10:51:08
"16",663581.164987177,5866643.43874343,1364572288,2013-03-29 11:51:28
"17",663587.546310934,5866650.31329595,1364575891,2013-03-29 12:51:31
"18",663183.759277615,5866315.66694131,1367072106,2013-04-27 10:15:06
"19",663182.287699478,5866330.72604765,1367075713,2013-04-27 11:15:13
"20",663144.904737963,5866360.24747243,1367079339,2013-04-27 12:15:39
"21",663150.315218949,5866368.0015548,1367082969,2013-04-27 13:16:09
"22",663111.276803141,5866375.64455909,1367086736,2013-04-27 14:18:56
"23",663156.408488964,5866388.99482116,1367090482,2013-04-27 15:21:22
"24",663158.975272198,5866322.04365244,1367094099,2013-04-27 16:21:39
"25",663159.877227625,5866321.43951288,1367101521,2013-04-27 18:25:21
"26",663156.360500051,5866323.94822457,1367105148,2013-04-27 19:25:48
"27",663209.334460859,5866275.35832398,1367108763,2013-04-27 20:26:03
"28",663165.249765193,5866362.9506936,1367112517,2013-04-27 21:28:37
"29",663198.569677345,5866506.47071739,1367116174,2013-04-27 22:29:34
"30",663145.90637164,5866389.73083411,1367119774,2013-04-27 23:29:34
"31",663174.917358615,5866294.16872803,1367123403,2013-04-28 00:30:03
"32",663187.684569224,5866314.60835614,1367127067,2013-04-28 01:31:07
"33",663190.451272689,5866312.98728933,1367130670,2013-04-28 02:31:10
"34",663185.388943535,5866326.17690931,1367134277,2013-04-28 03:31:17
"35",663178.869509026,5866317.98445875,1367137914,2013-04-28 04:31:54
"36",663188.239439275,5866305.56402376,1367141516,2013-04-28 05:31:56
"37",663155.8670586,5866323.01854907,1367145127,2013-04-28 06:32:07
"38",663155.889317671,5866329.9223968,1367148754,2013-04-28 07:32:34
"39",663156.468006426,5866320.96794136,1367152389,2013-04-28 08:33:09
"40",663185.051800562,5866292.17332107,1367155127,2013-04-28 09:18:47
"41",663175.710788747,5866324.73065687,1367156481,2013-04-28 09:41:21
"42",663157.990125085,5866306.60085005,1367157943,2013-04-28 10:05:43
"43",663164.827311834,5866297.93596786,1367159287,2013-04-28 10:28:07
"44",663664.097592197,5866308.78826455,1367161222,2013-04-28 11:00:22
"45",663662.724456606,5866305.91665496,1367162242.5,2013-04-28 11:17:22
"46",663658.025318797,5866307.76951081,1367163432,2013-04-28 11:37:12
"47",663168.109693614,5866297.18407868,1367165238,2013-04-28 12:07:18
"48",663172.369704872,5866301.05247184,1367166632,2013-04-28 12:30:32
"49",663156.411770923,5866319.54645187,1367168005.5,2013-04-28 12:53:25
"50",663158.342024482,5866319.37790832,1367169797.5,2013-04-28 13:23:17
"51",663157.537433145,5866321.18224813,1367171141,2013-04-28 13:45:41
"52",663154.940254441,5866315.00411789,1367172487.5,2013-04-28 14:08:07
"53",663127.50508162,5866391.83649832,1367174739,2013-04-28 14:45:39
"54",663122.622589778,5866387.37369434,1367175829,2013-04-28 15:03:49
"55",663121.747579357,5866386.9822582,1367177208.5,2013-04-28 15:26:48
"56",663169.018956016,5866361.83115805,1367179028,2013-04-28 15:57:08
"57",663166.909454371,5866385.30827476,1367180378,2013-04-28 16:19:38
"58",663147.880564315,5866272.03859539,1367183557.5,2013-04-28 17:12:37
"59",663131.848963561,5866271.71366459,1367184901,2013-04-28 17:35:01
"60",663132.467136449,5866262.98322457,1367187669,2013-04-28 18:21:09
"61",663129.512890191,5866270.54912426,1367189017,2013-04-28 18:43:37
"62",663121.44923298,5866267.82145353,1367190382,2013-04-28 19:06:22
"63",663160.349348466,5866372.54951969,1367192188,2013-04-28 19:36:28
"64",663156.986730736,5866356.87044365,1367193583.5,2013-04-28 19:59:43
"65",663158.556872134,5866321.18331834,1367195393,2013-04-28 20:29:53
"66",663160.092429645,5866316.26946857,1367196738,2013-04-28 20:52:18
"67",663160.258255849,5866310.6690947,1367198096,2013-04-28 21:14:56
"68",663157.505347798,5866315.56404797,1367199891,2013-04-28 21:44:51
"69",663159.875209944,5866320.50418659,1367201239,2013-04-28 22:07:19
"70",663157.90782137,5866321.37291716,1367202607,2013-04-28 22:30:07
"71",663157.740458666,5866323.23777391,1367204409,2013-04-28 23:00:09
"72",663156.308603359,5866325.48296505,1367205760,2013-04-28 23:22:40
"73",663160.139904339,5866316.0595275,1367207112.5,2013-04-28 23:45:12
"74",663160.180322289,5866310.98377904,1367208913.5,2013-04-29 00:15:13
"75",663154.898575253,5866312.85383855,1367210292,2013-04-29 00:38:12
"76",663159.045448432,5866322.15736582,1367211633.5,2013-04-29 01:00:33
"77",663159.268485098,5866320.93459803,1367213433,2013-04-29 01:30:33
"78",663159.64056552,5866321.07522129,1367214783,2013-04-29 01:53:03
"79",663157.578202085,5866323.26012228,1367216165,2013-04-29 02:16:05
"80",663158.006954618,5866320.63028971,1367217973,2013-04-29 02:46:13
"81",663157.866787785,5866321.19338522,1367219327,2013-04-29 03:08:47
"82",663142.27268169,5866397.5910665,1367222478.5,2013-04-29 04:01:18
"83",663123.595441655,5866399.79875116,1367223822,2013-04-29 04:23:42
"84",663113.220094919,5866404.74777937,1367224726,2013-04-29 04:38:46
"85",663156.426113312,5866325.19188697,1367226974,2013-04-29 05:16:14
"86",663158.665377747,5866321.85502893,1367228334,2013-04-29 05:38:54
"87",663103.273018612,5866418.12862515,1367230141,2013-04-29 06:09:01
"88",663155.370094164,5866321.19803257,1367231933,2013-04-29 06:38:53
"89",663153.426679397,5866321.7558229,1367232829,2013-04-29 06:53:49
"90",663158.431801692,5866319.50898606,1367234181,2013-04-29 07:16:21
"91",663156.112236967,5866320.54395229,1367235986,2013-04-29 07:46:26
"92",663157.055321135,5866319.71852245,1367237372,2013-04-29 08:09:32
"93",663157.639484694,5866319.15930657,1367238717,2013-04-29 08:31:57
"94",663186.48051306,5866304.44680493,1367240523.5,2013-04-29 09:02:03
"95",663183.565614134,5866316.61791794,1367241868,2013-04-29 09:24:28
"96",663155.097117762,5866313.35044918,1367243267,2013-04-29 09:47:47
"97",663093.653230376,5866389.67891079,1367245987.5,2013-04-29 10:33:07
"98",663085.995288088,5866384.40975256,1367247343,2013-04-29 10:55:43
"99",663152.005291027,5866390.05953618,1367251963,2013-04-29 12:12:43
"100",663131.190029077,5866403.45696431,1367256954,2013-04-29 13:35:54
"101",663124.593204655,5866393.37475159,1367258347,2013-04-29 13:59:07
"102",663127.136513557,5866382.23764429,1367259263,2013-04-29 14:14:23
"103",663156.716360581,5866377.30337108,1367261078,2013-04-29 14:44:38
"104",663154.220674828,5866372.40351428,1367262474.5,2013-04-29 15:07:54
"105",663141.63647611,5866385.36109933,1367264345,2013-04-29 15:39:05
"106",663140.427967782,5866405.67879551,1367265764,2013-04-29 16:02:44
"107",663167.668662383,5866371.1157987,1367267113,2013-04-29 16:25:13
"108",663159.044652219,5866374.01962792,1367268904.5,2013-04-29 16:55:04
"109",663166.650521237,5866368.88796301,1367270411,2013-04-29 17:20:11
"110",663165.698025817,5866364.61925531,1367271785,2013-04-29 17:43:05
"111",663165.333723388,5866369.42240207,1367273129,2013-04-29 18:05:29
"112",663164.954466569,5866367.30524581,1367276287.5,2013-04-29 18:58:07
"113",663168.508740574,5866362.29265533,1367277640,2013-04-29 19:20:40
"114",663162.25576808,5866373.58264782,1367278982.5,2013-04-29 19:43:02
"115",663164.514010963,5866369.68416719,1367280788.5,2013-04-29 20:13:08
"116",663156.286261057,5866358.18283994,1367282137,2013-04-29 20:35:37
"117",663157.641135836,5866356.92040734,1367283505,2013-04-29 20:58:25
"118",663157.604464577,5866370.54164761,1367285318,2013-04-29 21:28:38
"119",663158.992699968,5866382.02323546,1367286674,2013-04-29 21:51:14
"120",663172.546847403,5866375.60633928,1367288022.5,2013-04-29 22:13:42
"121",663168.518597882,5866326.68081617,1367289814,2013-04-29 22:43:34
"122",663159.46603878,5866321.65942293,1367291190,2013-04-29 23:06:30
"123",663160.904270206,5866324.00166669,1367292591.5,2013-04-29 23:29:51
"124",663172.350976818,5866341.60196182,1367294094,2013-04-29 23:54:54
"125",663173.261803733,5866316.65916728,1367295478.5,2013-04-30 00:17:58
"126",663146.1912164,5866407.37676061,1367298629,2013-04-30 01:10:29
"127",663139.516254524,5866404.9799271,1367299525,2013-04-30 01:25:25
"128",663167.172681433,5866312.456118,1367301765.5,2013-04-30 02:02:45
"129",663156.813484193,5866320.70127297,1367303110,2013-04-30 02:25:10
"130",663156.96452797,5866321.50803022,1367304552,2013-04-30 02:49:12
"131",663156.624572144,5866322.10890605,1367306436.5,2013-04-30 03:20:36
"132",663156.022115343,5866325.79616428,1367307780,2013-04-30 03:43:00
"133",663155.590452244,5866319.45744207,1367308676,2013-04-30 03:57:56
"134",663158.330991209,5866322.58970127,1367312579,2013-04-30 05:02:59
"135",663158.993574438,5866323.59190091,1367313972,2013-04-30 05:26:12
"136",663159.048403379,5866323.86097139,1367315317,2013-04-30 05:48:37
"137",663158.114363168,5866325.9114494,1367316677,2013-04-30 06:11:17
"138",663157.151367414,5866328.81826815,1367318023,2013-04-30 06:33:43
"139",663158.487048262,5866321.51749416,1367319666,2013-04-30 07:01:06
"140",663173.749211339,5866351.7923462,1367320882,2013-04-30 07:21:22
