"","x","y","t","date_time"
"1",663904.808044637,5867135.37289323,1369468449,2013-05-25 03:54:09
"2",663585.074662875,5866649.58371218,1369479399,2013-05-25 06:56:39
"3",667810.696066481,5869002.85774144,1369488230,2013-05-25 09:23:50
"4",667798.360953343,5869014.63196442,1369491849,2013-05-25 10:24:09
"5",667801.312510434,5869010.41445296,1369502719,2013-05-25 13:25:19
"6",667802.963066109,5869010.91729092,1369506369,2013-05-25 14:26:09
"7",667802.416794491,5869009.6066564,1369509966,2013-05-25 15:26:06
"8",667798.609698442,5869027.96880548,1369513590,2013-05-25 16:26:30
"9",667793.893567156,5869003.07458453,1369517229,2013-05-25 17:27:09
"10",667798.305674605,5869011.96885765,1369520829,2013-05-25 18:27:09
"11",667800.7631692,5869003.78134634,1369524451,2013-05-25 19:27:31
"12",667806.679583539,5869007.13839123,1369528059,2013-05-25 20:27:39
"13",667802.361335644,5869014.87141836,1369531677,2013-05-25 21:27:57
"14",667798.757035636,5869008.27672775,1369535289,2013-05-25 22:28:09
"15",667796.886295002,5868997.86751895,1369538909,2013-05-25 23:28:29
"16",667796.149054509,5869013.83122329,1369542549,2013-05-26 00:29:09
"17",663576.0826621,5866638.93526598,1369560839,2013-05-26 05:33:59
"18",663571.810621139,5866638.91289895,1369564440,2013-05-26 06:34:00
"19",667794.369379571,5869023.80160411,1369571799,2013-05-26 08:36:39
"20",667799.130078824,5869009.92650657,1369575429,2013-05-26 09:37:09
"21",667833.685863559,5869001.88764162,1369579057,2013-05-26 10:37:37
"22",667802.033393337,5869016.56360588,1369593811,2013-05-26 14:43:31
"23",667804.927264413,5869019.99359762,1369597432,2013-05-26 15:43:52
"24",667799.955095801,5869007.09361638,1369601049,2013-05-26 16:44:09
"25",667804.82731109,5869017.84112971,1369604658,2013-05-26 17:44:18
"26",667802.878290646,5869013.35282979,1369608259,2013-05-26 18:44:19
"27",667802.762248299,5869015.7204724,1369615509,2013-05-26 20:45:09
"28",667800.93171196,5869011.69281848,1369619115,2013-05-26 21:45:15
"29",667801.26031561,5869010.36809757,1369622769,2013-05-26 22:46:09
"30",667797.747260911,5868992.84235259,1369626368,2013-05-26 23:46:08
"31",667796.034014154,5869015.39720557,1369629968,2013-05-27 00:46:08
"32",663665.473024458,5865999.59690129,1369640863,2013-05-27 03:47:43
"33",663537.684240067,5866300.76097848,1369648215,2013-05-27 05:50:15
"34",663533.779588822,5866294.05953709,1369651869,2013-05-27 06:51:09
"35",663588.241706398,5866324.96564193,1369655474,2013-05-27 07:51:14
"36",663520.626926277,5866300.91772727,1369659085,2013-05-27 08:51:25
"37",663555.726969959,5866283.24627144,1369662789,2013-05-27 09:53:09
"38",663669.65797746,5866345.42987503,1369666413,2013-05-27 10:53:33
"39",663540.421709319,5866289.28546203,1369670015,2013-05-27 11:53:35
"40",663564.30852602,5866325.4792229,1369684647,2013-05-27 15:57:27
"41",663817.545612208,5866524.02940674,1369691977,2013-05-27 17:59:37
"42",663824.799968669,5866522.627877,1369695727,2013-05-27 19:02:07
"43",663828.244208458,5866519.88336205,1369699413,2013-05-27 20:03:33
"44",663829.913224938,5866532.95581102,1369703035,2013-05-27 21:03:55
"45",663807.03485378,5866529.1839213,1369706650,2013-05-27 22:04:10
"46",663791.292419277,5866516.00112017,1369710245,2013-05-27 23:04:05
"47",663530.355478276,5866298.19670116,1369717477,2013-05-28 01:04:37
"48",663513.723179205,5866323.34159298,1369721109,2013-05-28 02:05:09
"49",663552.423756018,5866275.87488906,1369724707,2013-05-28 03:05:07
"50",663521.210766914,5866309.90043865,1369728344,2013-05-28 04:05:44
"51",663459.319379459,5866361.61425232,1369731999,2013-05-28 05:06:39
"52",663529.864303133,5866296.20932409,1369735682,2013-05-28 06:08:02
"53",663523.244819459,5866306.27286243,1369739300,2013-05-28 07:08:20
"54",663533.967853999,5866295.05685007,1369742919,2013-05-28 08:08:39
"55",663580.055347298,5866248.45308461,1369750134,2013-05-28 10:08:54
"56",663530.23900334,5866307.58990825,1369753773,2013-05-28 11:09:33
"57",663549.336397662,5866316.53207684,1369757440,2013-05-28 12:10:40
"58",663482.005632786,5866290.84650462,1369761114,2013-05-28 13:11:54
"59",663546.945434456,5866283.43851158,1369764747,2013-05-28 14:12:27
"60",663554.490853751,5866289.33924479,1369768370,2013-05-28 15:12:50
"61",663599.06171453,5866294.02346945,1369771989,2013-05-28 16:13:09
"62",663643.094591443,5866309.2115724,1369775603,2013-05-28 17:13:23
"63",663400.066624377,5866777.12334769,1369781046,2013-05-28 18:44:06
"64",663401.159651201,5866775.44572295,1369782926,2013-05-28 19:15:26
"65",663404.676561188,5866783.05806832,1369784754,2013-05-28 19:45:54
"66",663403.539978509,5866779.26739151,1369786583,2013-05-28 20:16:23
"67",663400.537523036,5866776.92774989,1369788428,2013-05-28 20:47:08
"68",663401.253962603,5866777.2303675,1369790220,2013-05-28 21:17:00
"69",663816.804619079,5866515.53119022,1369793822,2013-05-28 22:17:02
"70",663667.580265542,5866354.11078956,1369797418,2013-05-28 23:16:58
"71",663665.467690994,5866356.67790829,1369799226,2013-05-28 23:47:06
"72",663528.864172005,5866295.34037286,1369801562,2013-05-29 00:26:02
"73",663528.731375472,5866292.50781864,1369803357,2013-05-29 00:55:57
"74",663530.020406395,5866296.76575114,1369805464.5,2013-05-29 01:31:04
"75",663528.765232337,5866296.47269471,1369806809,2013-05-29 01:53:29
"76",663527.708312752,5866296.88223702,1369807705,2013-05-29 02:08:25
"77",663536.853804607,5866307.09600533,1369809968.5,2013-05-29 02:46:08
"78",663484.745957479,5866290.40491729,1369811338,2013-05-29 03:08:58
"79",663547.651589455,5866295.16435578,1369813225,2013-05-29 03:40:25
"80",663550.024930012,5866282.71897109,1369814139,2013-05-29 03:55:39
"81",663545.12918024,5866286.69490314,1369815522,2013-05-29 04:18:42
"82",663541.460334229,5866284.15445657,1369817336.5,2013-05-29 04:48:56
"83",663553.015314165,5866276.88587302,1369818681,2013-05-29 05:11:21
"84",663542.985294509,5866281.55066852,1369820094.5,2013-05-29 05:34:54
"85",663551.974640656,5866275.52564491,1369821904.5,2013-05-29 06:05:04
"86",663554.346509739,5866275.92892932,1369823830,2013-05-29 06:37:10
"87",663542.655133148,5866277.59244919,1369824729,2013-05-29 06:52:09
"88",663541.651438066,5866280.30297855,1369826071.5,2013-05-29 07:14:31
"89",663536.878269925,5866291.68166251,1369827871,2013-05-29 07:44:31
"90",663539.807416885,5866285.76854327,1369829259,2013-05-29 08:07:39
"91",663547.664236175,5866290.62208332,1369830935,2013-05-29 08:35:35
"92",663532.529562603,5866288.75076168,1369832310,2013-05-29 08:58:30
"93",663524.054667561,5866291.113439,1369833814,2013-05-29 09:23:34
"94",663521.010108352,5866291.19953766,1369834723,2013-05-29 09:38:43
"95",663529.008643254,5866309.74162084,1369836518,2013-05-29 10:08:38
"96",663557.2917715,5866274.6036032,1369838343,2013-05-29 10:39:03
"97",663556.234873116,5866280.76945564,1369840118,2013-05-29 11:08:38
"98",663565.650792126,5866276.15624174,1369841894,2013-05-29 11:38:14
"99",663575.832503297,5866295.00623352,1369844134.5,2013-05-29 12:15:34
"100",663567.511651266,5866293.32126029,1369845509,2013-05-29 12:38:29
"101",663565.299415886,5866295.85164041,1369847327,2013-05-29 13:08:47
"102",663562.264760296,5866285.42191855,1369848677.5,2013-05-29 13:31:17
"103",663562.022713865,5866255.93625426,1369850214,2013-05-29 13:56:54
"104",663578.304985211,5866322.51328204,1369852197,2013-05-29 14:29:57
"105",663585.236449021,5866313.37338529,1369853093,2013-05-29 14:44:53
"106",663586.807613105,5866316.85038186,1369854436.5,2013-05-29 15:07:16
"107",663595.885568944,5866318.43301886,1369855781,2013-05-29 15:29:41
"108",663593.359152959,5866322.48923666,1369857593,2013-05-29 15:59:53
"109",663596.366239853,5866319.34004257,1369859409,2013-05-29 16:30:09
"110",663594.419453576,5866318.60599108,1369861202,2013-05-29 17:00:02
"111",663596.201924161,5866318.23219762,1369862997,2013-05-29 17:29:57
"112",663596.719955532,5866320.22049365,1369864803,2013-05-29 18:00:03
"113",663596.10508699,5866316.32498698,1369866599,2013-05-29 18:29:59
"114",663597.739714196,5866318.1284606,1369868396,2013-05-29 18:59:56
"115",663595.614247574,5866319.09186422,1369870236,2013-05-29 19:30:36
"116",663594.762466734,5866316.82503456,1369872034,2013-05-29 20:00:34
"117",663594.326303381,5866317.97932445,1369873825,2013-05-29 20:30:25
"118",663596.339204177,5866320.93129904,1369875633,2013-05-29 21:00:33
"119",663594.240234456,5866318.53311013,1369877458,2013-05-29 21:30:58
"120",663594.372337067,5866318.80480698,1369879249,2013-05-29 22:00:49
"121",663593.986784298,5866317.07708676,1369881040,2013-05-29 22:30:40
"122",663593.779793395,5866317.42635917,1369882849,2013-05-29 23:00:49
"123",663601.469951077,5866320.04752616,1369884712.5,2013-05-29 23:31:52
"124",663599.913749428,5866312.55719627,1369886847,2013-05-30 00:07:27
"125",663600.742828222,5866312.31808953,1369887743,2013-05-30 00:22:23
"126",663595.103744805,5866319.75930163,1369889120,2013-05-30 00:45:20
"127",663591.099783824,5866302.393589,1369890960.5,2013-05-30 01:16:00
"128",663578.126926648,5866296.9990786,1369892304,2013-05-30 01:38:24
"129",663591.262467867,5866305.73375824,1369893647.5,2013-05-30 02:00:47
"130",663590.382482681,5866304.0003869,1369895439,2013-05-30 02:30:39
"131",663612.794181217,5866274.43662564,1369896798,2013-05-30 02:53:18
"132",663601.558758849,5866283.9872601,1369898182.5,2013-05-30 03:16:22
"133",663578.70945357,5866301.65060262,1369899582,2013-05-30 03:39:42
"134",663597.721987201,5866286.3011099,1369900968,2013-05-30 04:02:48
"135",663603.937835814,5866296.48242377,1369902917.5,2013-05-30 04:35:17
"136",663595.146308991,5866323.76344526,1369904271,2013-05-30 04:57:51
"137",663596.027960838,5866323.75993599,1369905166,2013-05-30 05:12:46
"138",663607.711076553,5866274.50921686,1369907886,2013-05-30 05:58:06
"139",663601.972825119,5866295.49166609,1369908783,2013-05-30 06:13:03
"140",663598.148728174,5866305.86702028,1369910129,2013-05-30 06:35:29
"141",663582.078943602,5866303.69103097,1369911564,2013-05-30 06:59:24
"142",663569.647860256,5866312.88387927,1369913052,2013-05-30 07:24:12
"143",663568.232172488,5866282.28955417,1369914942,2013-05-30 07:55:42
"144",663557.352692285,5866276.77681232,1369916285,2013-05-30 08:18:05
