"","X","x","y","t","date_time","year"
"1",1,663163.530658878,5866281.25788694,1367856855,2013-05-06 12:14:15,"2013"
"2",2,663138.057455272,5866270.3982105,1367860460,2013-05-06 13:14:20,"2013"
"3",3,663143.476849247,5866277.29525968,1367864063,2013-05-06 14:14:23,"2013"
"4",4,663144.064165387,5866277.63800436,1367867673,2013-05-06 15:14:33,"2013"
"5",5,663148.088281148,5866272.46313912,1367871309,2013-05-06 16:15:09,"2013"
"6",6,663142.513120906,5866272.16329285,1367874969,2013-05-06 17:16:09,"2013"
"7",7,663141.158833864,5866268.43214193,1367878587,2013-05-06 18:16:27,"2013"
"8",8,663141.731584473,5866273.58429102,1367882197,2013-05-06 19:16:37,"2013"
"9",9,663142.261554366,5866271.6426221,1367885851,2013-05-06 20:17:31,"2013"
"10",10,663140.807247263,5866272.46190421,1367889448,2013-05-06 21:17:28,"2013"
"11",11,663134.755043929,5866272.93645316,1367893075,2013-05-06 22:17:55,"2013"
"12",12,663146.731035432,5866279.76570223,1367896713,2013-05-06 23:18:33,"2013"
"13",13,663026.463819015,5866140.60068087,1367904075,2013-05-07 01:21:15,"2013"
"14",14,662979.653759075,5866099.36009491,1367907699,2013-05-07 02:21:39,"2013"
"15",15,663021.286679691,5866141.66164478,1367918613,2013-05-07 05:23:33,"2013"
"16",16,663027.110652245,5866138.58501178,1367922247,2013-05-07 06:24:07,"2013"
"17",17,663026.475588353,5866136.06953866,1367925849,2013-05-07 07:24:09,"2013"
"18",18,662964.065839419,5866116.1692617,1367929479,2013-05-07 08:24:39,"2013"
"19",19,663043.057355624,5866085.66944772,1367933078,2013-05-07 09:24:38,"2013"
"20",20,663017.584889519,5866135.90277679,1367936707,2013-05-07 10:25:07,"2013"
"21",21,663016.574255781,5866140.1218231,1367940389,2013-05-07 11:26:29,"2013"
"22",22,663017.441827919,5866157.86533276,1367951372,2013-05-07 14:29:32,"2013"
"23",23,663004.088232758,5866176.26407912,1367955009,2013-05-07 15:30:09,"2013"
"24",24,661983.491735191,5865545.30866964,1367965934,2013-05-07 18:32:14,"2013"
"25",25,661999.097345516,5865539.74224285,1367969537,2013-05-07 19:32:17,"2013"
"26",26,661996.288046741,5865539.22485892,1367973183,2013-05-07 20:33:03,"2013"
"27",27,661995.208753496,5865542.50652407,1367976814,2013-05-07 21:33:34,"2013"
"28",28,661995.936294772,5865543.08763778,1367980417,2013-05-07 22:33:37,"2013"
"29",29,663024.886374156,5866140.88140617,1367991294,2013-05-08 01:34:54,"2013"
"30",30,663025.144514654,5866140.41136536,1367994897,2013-05-08 02:34:57,"2013"
"31",31,663013.885507356,5866152.9798338,1367998502,2013-05-08 03:35:02,"2013"
"32",32,663026.614706881,5866144.10185618,1368002283,2013-05-08 04:38:03,"2013"
"33",33,663034.483102983,5866138.07698932,1368005958,2013-05-08 05:39:18,"2013"
"34",34,663018.562291173,5866148.0050572,1368009727,2013-05-08 06:42:07,"2013"
"35",35,663003.239690151,5866156.56163213,1368013389,2013-05-08 07:43:09,"2013"
"36",36,662990.421147694,5866130.83217652,1368016987,2013-05-08 08:43:07,"2013"
"37",37,662985.54124622,5866133.85166887,1368035226,2013-05-08 13:47:06,"2013"
"38",38,663124.184908561,5866254.97620857,1368042453,2013-05-08 15:47:33,"2013"
"39",39,663136.795265269,5866276.88007191,1368045271,2013-05-08 16:34:31,"2013"
"40",40,663144.525274309,5866277.13586394,1368046175.5,2013-05-08 16:49:35,"2013"
"41",41,662004.57919327,5865536.93124095,1368047983,2013-05-08 17:19:43,"2013"
"42",42,662004.234875944,5865538.86810997,1368049479,2013-05-08 17:44:39,"2013"
"43",43,661993.845301374,5865537.91257478,1368050975,2013-05-08 18:09:35,"2013"
"44",44,661994.016644317,5865543.81152484,1368052455,2013-05-08 18:34:15,"2013"
"45",45,661993.70035681,5865546.94284241,1368054231,2013-05-08 19:03:51,"2013"
"46",46,661993.760688455,5865547.85227782,1368055720,2013-05-08 19:28:40,"2013"
"47",47,661993.977828699,5865545.6940289,1368057206,2013-05-08 19:53:26,"2013"
"48",48,661996.858667407,5865535.25809299,1368058737.5,2013-05-08 20:18:57,"2013"
"49",49,661989.741836854,5865544.17124894,1368060241,2013-05-08 20:44:01,"2013"
"50",50,662000.19522069,5865542.22298416,1368061765,2013-05-08 21:09:25,"2013"
"51",51,661995.342778744,5865539.0149906,1368062978,2013-05-08 21:29:38,"2013"
"52",52,662016.835941423,5865520.55837625,1368064205,2013-05-08 21:50:05,"2013"
"53",53,663124.872921122,5866301.30585539,1368065701,2013-05-08 22:15:01,"2013"
"54",54,663107.190950169,5866258.74107265,1368067493,2013-05-08 22:44:53,"2013"
"55",55,663105.214208793,5866257.09056866,1368068974.5,2013-05-08 23:09:34,"2013"
"56",56,663091.968852202,5866252.67357371,1368070459,2013-05-08 23:34:19,"2013"
"57",57,663026.946804176,5866139.05267124,1368072556,2013-05-09 00:09:16,"2013"
"58",58,663025.295231415,5866139.336459,1368073748.5,2013-05-09 00:29:08,"2013"
"59",59,663023.80078742,5866140.52643913,1368075236,2013-05-09 00:53:56,"2013"
"60",60,663023.583269166,5866140.90975149,1368076716.5,2013-05-09 01:18:36,"2013"
"61",61,663022.759371515,5866140.49779293,1368078196,2013-05-09 01:43:16,"2013"
"62",62,663025.21816144,5866140.0241634,1368079711.5,2013-05-09 02:08:31,"2013"
"63",63,663024.231102734,5866138.21233104,1368081188,2013-05-09 02:33:08,"2013"
"64",64,663025.965529112,5866138.51848805,1368082677.5,2013-05-09 02:57:57,"2013"
"65",65,663024.965364265,5866139.93768451,1368084164,2013-05-09 03:22:44,"2013"
"66",66,663022.456871086,5866140.58777904,1368085644,2013-05-09 03:47:24,"2013"
