"","X","x","y","t","date_time","year"
"10125",10125,-578466.683120346,3726103.56472543,1423212614,2015-02-06 03:50:14,"2015"
"10126",10126,-578711.869861332,3726038.32014563,1423216225,2015-02-06 04:50:25,"2015"
"10127",10127,-578705.250794779,3726015.47127823,1423218039,2015-02-06 05:20:39,"2015"
"10128",10128,-578694.070863112,3726039.48025477,1423219844,2015-02-06 05:50:44,"2015"
"10129",10129,-578698.192276235,3726013.97098542,1423221637,2015-02-06 06:20:37,"2015"
"10130",10130,-578697.756933925,3726041.93956078,1423223430,2015-02-06 06:50:30,"2015"
"10131",10131,-578701.949539104,3726031.23888724,1423225220,2015-02-06 07:20:20,"2015"
"10132",10132,-578704.409027981,3726030.8682761,1423227011,2015-02-06 07:50:11,"2015"
"10133",10133,-578701.220573274,3726036.40795232,1423228821,2015-02-06 08:20:21,"2015"
"10134",10134,-578663.722402719,3726028.19655955,1423230620,2015-02-06 08:50:20,"2015"
"10135",10135,-578690.328694859,3726028.39229567,1423232449,2015-02-06 09:20:49,"2015"
"10136",10136,-578636.179444572,3725994.49317734,1423234270,2015-02-06 09:51:10,"2015"
"10137",10137,-578647.679921157,3726004.30789962,1423236067,2015-02-06 10:21:07,"2015"
"10138",10138,-578649.487964042,3726006.70478625,1423237876,2015-02-06 10:51:16,"2015"
"10139",10139,-578666.558167952,3725983.6583725,1423239668,2015-02-06 11:21:08,"2015"
"10140",10140,-578695.366125695,3726057.14111956,1423241460,2015-02-06 11:51:00,"2015"
"10141",10141,-578678.307030959,3726032.21108443,1423243255,2015-02-06 12:20:55,"2015"
"10142",10142,-578673.558611741,3726032.02084527,1423245047,2015-02-06 12:50:47,"2015"
"10143",10143,-578668.250776605,3726031.38347786,1423246869,2015-02-06 13:21:09,"2015"
"10144",10144,-578692.202688799,3726027.97899764,1423248658,2015-02-06 13:50:58,"2015"
"10145",10145,-578682.949033137,3726028.57613829,1423250449,2015-02-06 14:20:49,"2015"
"10146",10146,-578678.987605618,3726033.96169581,1423252239,2015-02-06 14:50:39,"2015"
"10147",10147,-578675.114456289,3726050.33311306,1423254035,2015-02-06 15:20:35,"2015"
"10148",10148,-578705.379421087,3726027.88740157,1423261421,2015-02-06 17:23:41,"2015"
"10149",10149,-577899.653292902,3726623.51034512,1423266834,2015-02-06 18:53:54,"2015"
"10150",10150,-577911.132794059,3726619.67581996,1423268649,2015-02-06 19:24:09,"2015"
"10151",10151,-577919.259679837,3726624.39517773,1423270462,2015-02-06 19:54:22,"2015"
"10152",10152,-577921.781566772,3726627.73146925,1423272259,2015-02-06 20:24:19,"2015"
"10153",10153,-577933.20041066,3726637.33266095,1423274090,2015-02-06 20:54:50,"2015"
"10154",10154,-577929.400593023,3726673.88704887,1423275889,2015-02-06 21:24:49,"2015"
"10155",10155,-577925.764799243,3726630.59705139,1423277693,2015-02-06 21:54:53,"2015"
"10156",10156,-577933.468907853,3726633.90014757,1423279497,2015-02-06 22:24:57,"2015"
"10157",10157,-577932.902708752,3726636.41688124,1423281304,2015-02-06 22:55:04,"2015"
"10158",10158,-577944.16047118,3726600.59222045,1423283139,2015-02-06 23:25:39,"2015"
"10159",10159,-577984.735447089,3726390.02557609,1423286732,2015-02-07 00:25:32,"2015"
"10160",10160,-577984.133558717,3726388.84957715,1423288536,2015-02-07 00:55:36,"2015"
"10161",10161,-578684.002299867,3726028.86336687,1423295732,2015-02-07 02:55:32,"2015"
"10162",10162,-578663.804947858,3725990.50262447,1423297569,2015-02-07 03:26:09,"2015"
"10163",10163,-578687.514208684,3725964.60980817,1423303059,2015-02-07 04:57:39,"2015"
"10164",10164,-578745.319236727,3725771.32846515,1423306648,2015-02-07 05:57:28,"2015"
"10165",10165,-578704.889698779,3726020.50033402,1423310248,2015-02-07 06:57:28,"2015"
"10166",10166,-578680.706978741,3725979.20554691,1423312058,2015-02-07 07:27:38,"2015"
"10167",10167,-578643.06068863,3726018.32167793,1423313851,2015-02-07 07:57:31,"2015"
