"","x","y","t","date_time","year"
"1",667818.516238551,5869009.8775644,1366130268,2013-04-16 12:37:48,"2013"
"2",667811.513583098,5869003.56637619,1366131436,2013-04-16 12:57:16,"2013"
"3",667813.164445397,5869004.50251636,1366132444.5,2013-04-16 13:14:04,"2013"
"4",664288.285202413,5866724.01125614,1366133887,2013-04-16 13:38:07,"2013"
"5",661696.754602185,5876851.27086735,1366158653,2013-04-16 20:30:53,"2013"
"6",661694.740890455,5876849.65551637,1366164719,2013-04-16 22:11:59,"2013"
"7",661703.384768836,5876847.5857692,1366170811,2013-04-16 23:53:31,"2013"
"8",661699.25609489,5876843.57227295,1366176880,2013-04-17 01:34:40,"2013"
"9",677170.224326453,5889272.47999181,1366184309,2013-04-17 03:38:29,"2013"
"10",677172.635262322,5889276.84552336,1366185192,2013-04-17 03:53:12,"2013"
"11",677175.178563893,5889289.94483856,1366186757,2013-04-17 04:19:17,"2013"
"12",676799.515074981,5888476.18622699,1366189316.5,2013-04-17 05:01:56,"2013"
"13",671413.411246692,5873096.64004332,1366193091.5,2013-04-17 06:04:51,"2013"
"14",671414.046982327,5873099.91068138,1366194100,2013-04-17 06:21:40,"2013"
"15",671651.775381355,5873759.30218477,1366196259.5,2013-04-17 06:57:39,"2013"
"16",663591.001706863,5866632.44891553,1366201608,2013-04-17 08:26:48,"2013"
"17",663628.728771019,5865462.67402256,1366203698,2013-04-17 09:01:38,"2013"
"18",663626.023621077,5865469.01223214,1366204734,2013-04-17 09:18:54,"2013"
"19",663627.82691205,5865466.94298504,1366206593,2013-04-17 09:49:53,"2013"
"20",663627.901175084,5865469.72021287,1366207762,2013-04-17 10:09:22,"2013"
"21",663625.915636838,5865465.64608402,1366209505,2013-04-17 10:38:25,"2013"
"22",663623.038941684,5865464.73577131,1366210387,2013-04-17 10:53:07,"2013"
"23",664292.866397884,5866725.92089637,1369296765,2013-05-23 04:12:45,"2013"
"24",663572.203668371,5866641.6095386,1369304080,2013-05-23 06:14:40,"2013"
"25",666960.848620556,5868949.75614541,1369311320,2013-05-23 08:15:20,"2013"
"26",664157.507197445,5866618.43362025,1369318599,2013-05-23 10:16:39,"2013"
"27",664077.394701199,5866777.84385094,1369322253,2013-05-23 11:17:33,"2013"
"28",664099.697108553,5866747.67175216,1369325992,2013-05-23 12:19:52,"2013"
"29",667802.399874774,5869009.70627937,1369336877,2013-05-23 15:21:17,"2013"
"30",667801.627987363,5869013.3315791,1369340523,2013-05-23 16:22:03,"2013"
"31",667810.106563257,5869031.38648239,1369344122,2013-05-23 17:22:02,"2013"
"32",667819.590978703,5869023.44358711,1369347742,2013-05-23 18:22:22,"2013"
