,date_time,latitude,longitude,altitude,pressure,temperature,satellites_used,gps_fixtime,positiondop,h_accuracy,v_accuracy,x_speed,y_speed,z_speed,speed_accuracy,location,userflag,speed_3d,speed_2d,direction,altitude_agl,year
75,5/19/2013 16:48,52.9218603,5.4236759,-8,\N,14.1,\N,11.7,2,14.8,13.3,0.96,-2.8,-2.37,0.84,0101000020E6100000D9695A18D8B1154089FDAF84FF754A40,0,3.79189926,3.493605593,-124.528035,-7,2013
20,5/17/2013 8:06,52.9194854,5.4267431,19,\N,13.1,\N,8.4,2,17.8,15.4,-1.62,-1.72,1.27,1.37,0101000020E6100000B52CA924FCB41540221395B2B1754A40,0,2.682480196,2.681868896,-35.54497606,23,2013
27,5/17/2013 15:15,52.9194922,5.4267436,-2,\N,14.7,\N,25.2,4.6,17,19,-0.08,-0.31,-1.59,0.97,0101000020E6100000F61B3746FCB41540ABF69FEBB1754A40,0,1.621912451,0.922260017,-160.9483328,2,2013
28,5/17/2013 16:17,52.9231178,5.4285776,0,\N,14.6,\N,129.2,3,17.5,16.9,-3.7,7.45,1.98,0.69,0101000020E61000005331DF0BDDB6154080AD5CB928764A40,0,8.550608166,8.547878037,65.31294667,3,2013
19,5/17/2013 7:06,52.9233033,5.4292787,-2,\N,18.3,\N,118.5,4.2,17.9,27.7,-0.33,-0.16,-0.37,1.67,0101000020E6100000437AE5D594B71540FAE472CD2E764A40,0,0.520960651,0.137882585,-68.2409324,1,2013
18,5/17/2013 6:01,52.9223478,5.4307867,1,\N,18.9,\N,17.5,2.1,20.6,31.8,-0.12,0.58,1.06,1.7,0101000020E61000000135102620B91540CE44227E0F764A40,0,1.214248739,0.907489856,40.44905556,3,2013
1568,6/15/2013 18:03,52.9271833,5.432572,-2,\N,25.2,6,37.6,1.7,5.4,6.7,-0.09,-0.05,-0.31,0.41,0101000020E610000048A98427F4BA1540DD723FF1AD764A40,0,0.326649659,0.118994746,-159.7147788,1,2013
1567,6/15/2013 17:48,52.9272961,5.4333682,9,\N,28.7,5,24.6,2.4,37.9,32.3,-0.41,0.87,-1.93,2.85,0101000020E61000006C8198DFC4BB1540AB9A7BA3B1764A40,0,2.156362678,1.278761462,134.9561158,12,2013
1571,6/15/2013 18:52,52.9271617,5.4333686,-5,\N,19.9,5,8.8,3.1,17,14.1,-0.24,-1.24,-0.57,0.79,0101000020E6100000067470FAC4BB154048CD0D3CAD764A40,0,1.38567673,1.213153906,-92.80197798,-2,2013
48,5/18/2013 13:34,52.9244614,5.4333731,-4,\N,28.1,\N,12.2,3,17,10.4,-1.5,-0.06,-0.53,0.77,0101000020E610000053DD6D28C6BB15400AB54BC054764A40,0,1.592011306,0.880254008,5.364868003,0,2013
49,5/18/2013 14:35,52.9244211,5.4333809,-3,\N,27.7,\N,34.5,1.3,4.9,4.9,-0.06,-0.02,-0.13,0.25,0101000020E61000001DD8E033C8BB1540BE1D3C6E53764A40,0,0.144568323,0.03248818,-154.0255844,1,2013
1572,6/15/2013 19:09,52.9271606,5.4333815,-8,\N,22.2,4,9,4.5,34.5,35.3,-1.85,-0.79,-0.5,3.21,0101000020E610000005C4245CC8BB1540E391D332AD764A40,0,2.07282416,1.371457932,-26.46898708,-5,2013
50,5/18/2013 15:36,52.9244253,5.4333831,0,\N,23.1,\N,7.9,2.6,7.3,8.1,-0.37,-0.43,-1.37,0.49,0101000020E6100000708E84C7C8BB1540298C779153764A40,0,1.482801403,0.635645108,-141.8063047,4,2013
