"","ID","date_time","latitude","longitude","b","t"
"1","144441-2016",2016-01-01 06:54:45,14.799,-4.701,-1,"2016-01-01 06:54:45"
"2","144441-2016",2016-01-01 07:29:25,14.83,-4.682,-1,"2016-01-01 07:29:25"
"3","144441-2016",2016-01-01 09:37:27,15.122,-4.659,-1,"2016-01-01 09:37:27"
"4","144441-2016",2016-01-01 10:33:45,15.146,-4.629,-1,"2016-01-01 10:33:45"
"5","144441-2016",2016-01-01 13:55:41,15.118,-4.654,-1,"2016-01-01 13:55:41"
"6","144441-2016",2016-01-02 15:27:03,14.856,-4.656,-1,"2016-01-02 15:27:03"
"7","144441-2016",2016-01-02 17:09:28,14.888,-4.577,-1,"2016-01-02 17:09:28"
"8","144441-2016",2016-01-02 17:09:58,14.845,-4.641,-1,"2016-01-02 17:09:58"
"9","144441-2016",2016-01-02 18:14:31,14.834,-4.654,-1,"2016-01-02 18:14:31"
"10","144441-2016",2016-01-02 18:46:35,14.836,-4.654,-1,"2016-01-02 18:46:35"
"11","144441-2016",2016-01-02 20:26:15,14.825,-4.658,-1,"2016-01-02 20:26:15"
"12","144441-2016",2016-01-02 21:20:27,14.833,-4.664,-1,"2016-01-02 21:20:27"
"13","144441-2016",2016-01-02 22:06:46,14.837,-4.657,-1,"2016-01-02 22:06:46"
"14","144441-2016",2016-01-04 02:08:17,14.836,-4.662,-1,"2016-01-04 02:08:17"
"15","144441-2016",2016-01-04 03:55:14,14.833,-4.652,-1,"2016-01-04 03:55:14"
"16","144441-2016",2016-01-04 05:20:53,14.834,-4.652,-1,"2016-01-04 05:20:53"
"17","144441-2016",2016-01-04 05:33:57,14.835,-4.652,-1,"2016-01-04 05:33:57"
"18","144441-2016",2016-01-04 06:13:23,14.836,-4.651,-1,"2016-01-04 06:13:23"
"19","144441-2016",2016-01-05 06:25:59,14.834,-4.652,-1,"2016-01-05 06:25:59"
"20","144441-2016",2016-01-05 07:04:55,14.834,-4.652,-1,"2016-01-05 07:04:55"
"21","144441-2016",2016-01-05 07:33:52,14.835,-4.652,-1,"2016-01-05 07:33:52"
"22","144441-2016",2016-01-05 09:08:04,14.834,-4.648,-1,"2016-01-05 09:08:04"
"23","144441-2016",2016-01-05 09:52:26,14.829,-4.648,-1,"2016-01-05 09:52:26"
"24","144441-2016",2016-01-05 11:34:48,14.826,-4.622,-1,"2016-01-05 11:34:48"
"25","144441-2016",2016-01-05 13:11:56,14.833,-4.612,-1,"2016-01-05 13:11:56"
"26","144441-2016",2016-01-06 14:40:22,14.866,-4.578,-1,"2016-01-06 14:40:22"
"27","144441-2016",2016-01-06 16:28:56,14.864,-4.567,-1,"2016-01-06 16:28:56"
"28","144441-2016",2016-01-06 18:04:48,14.833,-4.654,-1,"2016-01-06 18:04:48"
"29","144441-2016",2016-01-06 18:11:21,14.822,-4.649,-1,"2016-01-06 18:11:21"
"30","144441-2016",2016-01-06 18:26:14,14.832,-4.662,-1,"2016-01-06 18:26:14"
"31","144441-2016",2016-01-06 20:44:18,14.831,-4.658,-1,"2016-01-06 20:44:18"
"32","144441-2016",2016-01-06 21:36:34,14.826,-4.676,-1,"2016-01-06 21:36:34"
"33","144441-2016",2016-01-06 22:24:29,14.836,-4.656,-1,"2016-01-06 22:24:29"
"34","144441-2016",2016-01-08 01:24:05,14.89,-4.345,-1,"2016-01-08 01:24:05"
"35","144441-2016",2016-01-08 03:06:54,14.992,-4.402,-1,"2016-01-08 03:06:54"
"36","144441-2016",2016-01-08 04:41:46,15.015,-4.409,-1,"2016-01-08 04:41:46"
"37","144441-2016",2016-01-08 04:45:13,14.921,-4.371,-1,"2016-01-08 04:45:13"
"38","144441-2016",2016-01-08 04:48:41,15.005,-4.221,-1,"2016-01-08 04:48:41"
